Player,Team,Season,GP,Team Games,Missed Low,Missed Moderate,Missed High,Missed Unclassified,Note
Idris Lockhart,PHN,2023-24,79,82,2,1,0,0,
Florian Ingram,QST,2025-26,79,82,2,1,0,0,
Florian Ingram,QST,2024-25,80,82,1,1,0,0,
Florian Ingram,QST,2023-24,79,82,2,1,0,0,
Hollis Underhill,RVR,2025-26,80,82,1,1,0,0,
Hollis Underhill,RVR,2024-25,81,82,1,0,0,0,
Hollis Underhill,RVR,2023-24,81,82,1,0,0,0,
Hugo Corvell,SUM,2025-26,79,82,2,1,0,0,
Hugo Corvell,SUM,2024-25,79,82,2,1,0,0,
Hugo Corvell,SUM,2023-24,80,82,1,1,0,0,
Rowan Garrow,UMB,2025-26,80,82,1,1,0,0,
Rowan Garrow,UMB,2024-25,79,82,2,1,0,0,
Rowan Garrow,UMB,2023-24,80,82,1,1,0,0,
Niall Northcott,VIP,2025-26,77,82,3,2,0,0,
Niall Northcott,VIP,2024-25,80,82,1,1,0,0,
Niall Northcott,VIP,2023-24,78,82,2,2,0,0,
Quincy Calloway,WLD,2025-26,80,82,1,1,0,0,
Quincy Calloway,WLD,2024-25,81,82,1,0,0,0,
Quincy Calloway,WLD,2023-24,81,82,1,0,0,0,
Ulises Birchwell,YTI,2025-26,79,82,2,1,0,0,
Ulises Birchwell,YTI,2024-25,81,82,1,0,0,0,
Ulises Birchwell,YTI,2023-24,80,82,1,1,0,0,
Hugo Ravensworth,ZEP,2025-26,78,82,2,2,0,0,
Hugo Ravensworth,ZEP,2024-25,75,82,4,3,0,0,
Hugo Ravensworth,ZEP,2023-24,77,82,3,2,0,0,
Milo Ashgrove,ARC,2025-26,75,82,4,3,0,0,
Milo Ashgrove,ARC,2024-25,77,82,3,2,0,0,
Milo Ashgrove,ARC,2023-24,77,82,3,2,0,0,
Cyrus Ingram,BOL,2025-26,78,82,2,2,0,0,
Cyrus Ingram,BOL,2024-25,77,82,3,2,0,0,
Cyrus Ingram,BOL,2023-24,77,82,3,2,0,0,
Zane Blackwood,CRS,2025-26,59,82,4,3,16,0,recurring lower-body issue (fictional)
Zane Blackwood,CRS,2024-25,53,82,5,4,20,0,recurring lower-body issue (fictional)
Zane Blackwood,CRS,2023-24,54,82,4,4,20,0,recurring lower-body issue (fictional)
Ulises Pembrook,DUN,2025-26,82,82,0,0,0,0,
Ulises Pembrook,DUN,2024-25,81,82,1,0,0,0,
Ulises Pembrook,DUN,2023-24,81,82,1,0,0,0,
Dorian Garrow,ALB,2025-26,75,82,4,3,0,0,
Dorian Garrow,ALB,2024-25,77,82,3,2,0,0,
Dorian Garrow,ALB,2023-24,79,82,2,1,0,0,
Finn Abernet,BRV,2025-26,46,82,6,5,25,0,recurring lower-body issue (fictional)
Finn Abernet,BRV,2024-25,69,82,2,2,9,0,recurring lower-body issue (fictional)
Finn Abernet,BRV,2023-24,52,82,5,4,21,0,recurring lower-body issue (fictional)
Marek Birchwell,CDR,2025-26,78,82,2,2,0,0,
Marek Birchwell,CDR,2024-25,78,82,2,2,0,0,
Marek Birchwell,CDR,2023-24,77,82,3,2,0,0,
Hugo Yarrow,DLT,2025-26,41,82,6,6,29,0,recurring lower-body issue (fictional)
Hugo Yarrow,DLT,2024-25,40,82,7,6,29,0,recurring lower-body issue (fictional)
Hollis Fairbourne,EMB,2025-26,55,82,4,4,19,0,recurring lower-body issue (fictional)
Hollis Fairbourne,EMB,2024-25,55,82,4,4,19,0,recurring lower-body issue (fictional)
Hollis Fairbourne,EMB,2023-24,55,82,4,4,19,0,recurring lower-body issue (fictional)
Soren Yarrow,GLN,2025-26,80,82,1,1,0,0,
Soren Yarrow,GLN,2024-25,80,82,1,1,0,0,
Yuri Calloway,HVN,2025-26,79,82,2,1,0,0,
Yuri Calloway,HVN,2024-25,80,82,1,1,0,0,
Yuri Calloway,HVN,2023-24,81,82,1,0,0,0,
Kellan Oakridge,IRN,2025-26,78,82,2,2,0,0,
Kellan Oakridge,IRN,2024-25,75,82,4,3,0,0,
Kellan Oakridge,IRN,2023-24,77,82,3,2,0,0,
Linus Eastlake,JAD,2025-26,79,82,2,1,0,0,
Linus Eastlake,JAD,2024-25,79,82,2,1,0,0,
Linus Eastlake,JAD,2023-24,77,82,3,2,0,0,
Orin Hartwell,KNG,2025-26,81,82,1,0,0,0,
Orin Hartwell,KNG,2024-25,81,82,1,0,0,0,
Dorian Vexley,LYX,2025-26,78,82,2,2,0,0,
Dorian Vexley,LYX,2024-25,80,82,1,1,0,0,
Dorian Vexley,LYX,2023-24,76,82,3,3,0,0,
Quincy Fairbourne,MTR,2025-26,80,82,1,1,0,0,
Quincy Fairbourne,MTR,2024-25,81,82,1,0,0,0,
Quincy Fairbourne,MTR,2023-24,81,82,1,0,0,0,
Lior Everly,NOV,2025-26,58,82,4,3,17,0,recurring lower-body issue (fictional)
Lior Everly,NOV,2024-25,52,82,5,4,21,0,recurring lower-body issue (fictional)
Lior Everly,NOV,2023-24,41,82,6,6,29,0,recurring lower-body issue (fictional)
Soren Northcott,ORC,2025-26,81,82,1,0,0,0,
Soren Northcott,ORC,2024-25,79,82,2,1,0,0,
Soren Northcott,ORC,2023-24,80,82,1,1,0,0,
Milo Northcott,PHN,2025-26,79,82,2,1,0,0,
Milo Northcott,PHN,2024-25,77,82,3,2,0,0,
Milo Northcott,PHN,2023-24,78,82,2,2,0,0,
Gage Draven,QST,2025-26,78,82,2,2,0,0,
Gage Draven,QST,2024-25,77,82,3,2,0,0,
Gage Draven,QST,2023-24,79,82,2,1,0,0,
Dorian Underhill,RVR,2025-26,78,82,2,2,0,0,
Dorian Underhill,RVR,2024-25,73,82,5,4,0,0,
Dorian Underhill,RVR,2023-24,74,82,4,4,0,0,
Orin Wolcott,SUM,2025-26,81,82,1,0,0,0,
Orin Wolcott,SUM,2024-25,81,82,1,0,0,0,
Orin Wolcott,SUM,2023-24,80,82,1,1,0,0,
Yuri Ravensworth,TID,2025-26,76,82,3,3,0,0,
Yuri Ravensworth,TID,2024-25,76,82,3,3,0,0,
Yuri Ravensworth,TID,2023-24,78,82,2,2,0,0,
Dante Quill,UMB,2025-26,80,82,1,1,0,0,
Dante Quill,UMB,2024-25,79,82,2,1,0,0,
Dante Quill,UMB,2023-24,78,82,2,2,0,0,
Soren Blackwood,VIP,2025-26,80,82,1,1,0,0,
Soren Blackwood,VIP,2024-25,80,82,1,1,0,0,
Soren Blackwood,VIP,2023-24,79,82,2,1,0,0,
Galen Stroud,WLD,2025-26,78,82,2,2,0,0,
Galen Stroud,WLD,2024-25,79,82,2,1,0,0,
Galen Stroud,WLD,2023-24,80,82,1,1,0,0,
Florian Pembrook,XEN,2025-26,80,82,1,1,0,0,
Florian Pembrook,XEN,2024-25,79,82,2,1,0,0,
Florian Pembrook,XEN,2023-24,78,82,2,2,0,0,
Orin Ravensworth,YTI,2025-26,80,82,1,1,0,0,
Orin Ravensworth,YTI,2024-25,81,82,1,0,0,0,
Orin Ravensworth,YTI,2023-24,81,82,1,0,0,0,
Ulises Thorne,ZEP,2025-26,80,82,1,1,0,0,
Ulises Thorne,ZEP,2024-25,78,82,2,2,0,0,
Ulises Thorne,ZEP,2023-24,78,82,2,2,0,0,
Finn Wolcott,ARC,2025-26,78,82,2,2,0,0,
Finn Wolcott,ARC,2024-25,78,82,2,2,0,0,
Finn Wolcott,ARC,2023-24,80,82,1,1,0,0,
Finn Marlow,BOL,2025-26,63,82,3,3,13,0,recurring lower-body issue (fictional)
Finn Marlow,BOL,2024-25,50,82,5,5,22,0,recurring lower-body issue (fictional)
Finn Marlow,BOL,2023-24,55,82,4,4,19,0,recurring lower-body issue (fictional)
Florian Ravensworth,CRS,2025-26,78,82,2,2,0,0,
Florian Ravensworth,CRS,2024-25,77,82,3,2,0,0,
Florian Ravensworth,CRS,2023-24,76,82,3,3,0,0,
Galen Calloway,DUN,2025-26,77,82,3,2,0,0,
Galen Calloway,DUN,2024-25,75,82,4,3,0,0,
Galen Calloway,DUN,2023-24,79,82,2,1,0,0,
Wes Birchwell,ALB,2025-26,77,82,3,2,0,0,
Wes Birchwell,ALB,2024-25,78,82,2,2,0,0,
Wes Birchwell,ALB,2023-24,81,82,1,0,0,0,
Soren Marlow,BRV,2025-26,57,82,4,3,18,0,recurring lower-body issue (fictional)
Soren Marlow,BRV,2024-25,44,82,6,5,27,0,recurring lower-body issue (fictional)
Soren Marlow,BRV,2023-24,45,82,6,5,26,0,recurring lower-body issue (fictional)
Bram Pembrook,CDR,2025-26,77,82,3,2,0,0,
Bram Pembrook,CDR,2024-25,75,82,4,3,0,0,
Bram Pembrook,CDR,2023-24,76,82,3,3,0,0,
Gage Abernet,DLT,2025-26,76,82,3,3,0,0,
Gage Abernet,DLT,2024-25,78,82,2,2,0,0,
Gage Abernet,DLT,2023-24,77,82,3,2,0,0,
Finn Pembrook,EMB,2025-26,68,82,2,2,10,0,recurring lower-body issue (fictional)
Finn Pembrook,EMB,2024-25,50,82,5,5,22,0,recurring lower-body issue (fictional)
Finn Pembrook,EMB,2023-24,68,82,2,2,10,0,recurring lower-body issue (fictional)
Soren Wolcott,FRG,2025-26,64,82,3,2,13,0,recurring lower-body issue (fictional)
Soren Wolcott,FRG,2024-25,54,82,4,4,20,0,recurring lower-body issue (fictional)
Soren Wolcott,FRG,2023-24,58,82,4,3,17,0,recurring lower-body issue (fictional)
Yuri Eastlake,GLN,2025-26,78,82,2,2,0,0,
Yuri Eastlake,GLN,2024-25,76,82,3,3,0,0,
Yuri Eastlake,GLN,2023-24,77,82,3,2,0,0,
Tate Marlow,HVN,2025-26,78,82,2,2,0,0,
Tate Marlow,HVN,2024-25,78,82,2,2,0,0,
Tate Marlow,HVN,2023-24,77,82,3,2,0,0,
Dante Ashgrove,IRN,2025-26,62,82,3,3,14,0,recurring lower-body issue (fictional)
Dante Ashgrove,IRN,2024-25,50,82,5,5,22,0,recurring lower-body issue (fictional)
Dante Ashgrove,IRN,2023-24,53,82,5,4,20,0,recurring lower-body issue (fictional)
Quincy Zeller,JAD,2025-26,77,82,3,2,0,0,
Quincy Zeller,JAD,2024-25,78,82,2,2,0,0,
Quincy Zeller,JAD,2023-24,77,82,3,2,0,0,
Linus Blackwood,KNG,2025-26,76,82,3,3,0,0,
Linus Blackwood,KNG,2024-25,78,82,2,2,0,0,
Linus Blackwood,KNG,2023-24,78,82,2,2,0,0,
Marek Stroud,LYX,2025-26,81,82,1,0,0,0,
Marek Stroud,LYX,2024-25,78,82,2,2,0,0,
Marek Stroud,LYX,2023-24,80,82,1,1,0,0,
Idris Underhill,MTR,2025-26,81,82,1,0,0,0,
Idris Underhill,MTR,2024-25,82,82,0,0,0,0,
Idris Underhill,MTR,2023-24,82,82,0,0,0,0,
Dorian Eastlake,NOV,2025-26,57,82,4,3,18,0,recurring lower-body issue (fictional)
Dorian Eastlake,NOV,2024-25,40,82,7,6,29,0,recurring lower-body issue (fictional)
Dorian Eastlake,NOV,2023-24,45,82,6,5,26,0,recurring lower-body issue (fictional)
Rowan Calloway,ORC,2025-26,79,82,2,1,0,0,
Rowan Calloway,ORC,2024-25,78,82,2,2,0,0,
Rowan Calloway,ORC,2023-24,77,82,3,2,0,0,
Ivo Yarrow,PHN,2025-26,79,82,2,1,0,0,
Ivo Yarrow,PHN,2024-25,79,82,2,1,0,0,
Ivo Yarrow,PHN,2023-24,78,82,2,2,0,0,
Quincy Marlow,QST,2025-26,76,82,3,3,0,0,
Quincy Marlow,QST,2024-25,73,82,5,4,0,0,
Quincy Marlow,QST,2023-24,75,82,4,3,0,0,
Wes Calloway,RVR,2025-26,75,82,4,3,0,0,
Wes Calloway,RVR,2024-25,77,82,3,2,0,0,
Wes Calloway,RVR,2023-24,75,82,4,3,0,0,
Xander Blackwood,SUM,2025-26,74,82,4,4,0,0,
Xander Blackwood,SUM,2024-25,78,82,2,2,0,0,
Xander Blackwood,SUM,2023-24,75,82,4,3,0,0,
Hugo Lockhart,UMB,2025-26,75,82,4,3,0,0,
Hugo Lockhart,UMB,2024-25,75,82,4,3,0,0,
Hugo Lockhart,UMB,2023-24,75,82,4,3,0,0,
Florian Yarrow,VIP,2025-26,80,82,1,1,0,0,
Florian Yarrow,VIP,2024-25,80,82,1,1,0,0,
Florian Yarrow,VIP,2023-24,79,82,2,1,0,0,
Linus Fairbourne,WLD,2025-26,80,82,1,1,0,0,
Linus Fairbourne,WLD,2024-25,79,82,2,1,0,0,
Linus Fairbourne,WLD,2023-24,81,82,1,0,0,0,
Niall Abernet,XEN,2025-26,44,82,6,5,27,0,recurring lower-body issue (fictional)
Niall Abernet,XEN,2024-25,32,82,8,7,35,0,recurring lower-body issue (fictional)
Kade Draven,YTI,2025-26,78,82,2,2,0,0,
Kade Draven,YTI,2024-25,78,82,2,2,0,0,
Kade Draven,YTI,2023-24,77,82,3,2,0,0,
Finn Oakridge,ZEP,2025-26,48,82,5,5,24,0,recurring lower-body issue (fictional)
Finn Oakridge,ZEP,2024-25,43,82,6,6,27,0,recurring lower-body issue (fictional)
Finn Oakridge,ZEP,2023-24,38,82,7,6,31,0,recurring lower-body issue (fictional)
Quincy Corvell,ARC,2025-26,78,82,2,2,0,0,
Quincy Corvell,ARC,2024-25,80,82,1,1,0,0,
Quincy Corvell,ARC,2023-24,78,82,2,2,0,0,
Soren Fairbourne,BOL,2025-26,79,82,2,1,0,0,
Soren Fairbourne,BOL,2024-25,80,82,1,1,0,0,
Soren Fairbourne,BOL,2023-24,80,82,1,1,0,0,
Galen Abernet,CRS,2025-26,77,82,3,2,0,0,
Galen Abernet,CRS,2024-25,80,82,1,1,0,0,
Galen Abernet,CRS,2023-24,78,82,2,2,0,0,
Kade Wolcott,DUN,2025-26,81,82,1,0,0,0,
Kade Wolcott,DUN,2024-25,81,82,1,0,0,0,
Kade Wolcott,DUN,2023-24,81,82,1,0,0,0,
Gage Fairbourne,ALB,2025-26,76,82,3,3,0,0,
Emeka Jessop,BRV,2025-26,80,82,1,1,0,0,
Emeka Jessop,BRV,2024-25,80,82,1,1,0,0,
Emeka Jessop,BRV,2023-24,81,82,1,0,0,0,
Rowan Eastlake,CDR,2025-26,81,82,1,0,0,0,
Rowan Eastlake,CDR,2024-25,80,82,1,1,0,0,
Rowan Eastlake,CDR,2023-24,80,82,1,1,0,0,
Pax Underhill,DLT,2025-26,80,82,1,1,0,0,
Pax Underhill,DLT,2024-25,76,82,3,3,0,0,
Pax Underhill,DLT,2023-24,77,82,3,2,0,0,
Emeka Corvell,EMB,2025-26,78,82,2,2,0,0,
Emeka Corvell,EMB,2024-25,77,82,3,2,0,0,
Emeka Corvell,EMB,2023-24,78,82,2,2,0,0,
Idris Fairbourne,FRG,2025-26,77,82,3,2,0,0,
Idris Fairbourne,FRG,2024-25,79,82,2,1,0,0,
Idris Fairbourne,FRG,2023-24,78,82,2,2,0,0,
Gage Northcott,GLN,2025-26,44,82,6,5,27,0,recurring lower-body issue (fictional)
Wes Ingram,HVN,2025-26,78,82,2,2,0,0,
Eli Birchwell,IRN,2025-26,77,82,3,2,0,0,
Eli Birchwell,IRN,2024-25,76,82,3,3,0,0,
Eli Birchwell,IRN,2023-24,79,82,2,1,0,0,
Quincy Eastlake,JAD,2025-26,77,82,3,2,0,0,
Quincy Eastlake,JAD,2024-25,75,82,4,3,0,0,
Quincy Eastlake,JAD,2023-24,78,82,2,2,0,0,
Nico Dunmore,KNG,2025-26,80,82,1,1,0,0,
Nico Dunmore,KNG,2024-25,82,82,0,0,0,0,
Nico Dunmore,KNG,2023-24,81,82,1,0,0,0,
Emeka Kestrel,LYX,2025-26,74,82,4,4,0,0,
Emeka Kestrel,LYX,2024-25,79,82,2,1,0,0,
Emeka Kestrel,LYX,2023-24,77,82,3,2,0,0,
Bram Hartwell,MTR,2025-26,80,82,1,1,0,0,
Bram Hartwell,MTR,2024-25,79,82,2,1,0,0,
Bram Hartwell,MTR,2023-24,80,82,1,1,0,0,
Galen Quill,NOV,2025-26,78,82,2,2,0,0,
Galen Quill,NOV,2024-25,77,82,3,2,0,0,
Galen Quill,NOV,2023-24,78,82,2,2,0,0,
Idris Pembrook,ORC,2025-26,82,82,0,0,0,0,
Idris Pembrook,ORC,2024-25,80,82,1,1,0,0,
Idris Pembrook,ORC,2023-24,80,82,1,1,0,0,
Linus Everly,PHN,2025-26,78,82,2,2,0,0,
Linus Everly,PHN,2024-25,80,82,1,1,0,0,
Linus Everly,PHN,2023-24,77,82,3,2,0,0,
Zane Jessop,QST,2025-26,79,82,2,1,0,0,
Zane Jessop,QST,2024-25,78,82,2,2,0,0,
Zane Jessop,QST,2023-24,79,82,2,1,0,0,
Dorian Fairbourne,RVR,2025-26,80,82,1,1,0,0,
Dorian Fairbourne,RVR,2024-25,81,82,1,0,0,0,
Dorian Fairbourne,RVR,2023-24,80,82,1,1,0,0,
Florian Stroud,SUM,2025-26,79,82,2,1,0,0,
Florian Stroud,SUM,2024-25,79,82,2,1,0,0,
Florian Stroud,SUM,2023-24,80,82,1,1,0,0,
Ansel Pembrook,TID,2025-26,76,82,3,3,0,0,
Ansel Pembrook,TID,2024-25,75,82,4,3,0,0,
Ansel Pembrook,TID,2023-24,78,82,2,2,0,0,
Eli Thorne,UMB,2025-26,63,82,3,3,13,0,recurring lower-body issue (fictional)
Eli Thorne,UMB,2024-25,65,82,3,2,12,0,recurring lower-body issue (fictional)
Eli Thorne,UMB,2023-24,62,82,3,3,14,0,recurring lower-body issue (fictional)
Ivo Vexley,VIP,2025-26,59,82,4,3,16,0,recurring lower-body issue (fictional)
Ivo Vexley,VIP,2024-25,45,82,6,5,26,0,recurring lower-body issue (fictional)
Ivo Vexley,VIP,2023-24,60,82,4,3,15,0,recurring lower-body issue (fictional)
Kellan Calloway,WLD,2025-26,76,82,3,3,0,0,
Kellan Calloway,WLD,2024-25,74,82,4,4,0,0,
Kellan Calloway,WLD,2023-24,76,82,3,3,0,0,
Orin Abernet,XEN,2025-26,48,82,5,5,24,0,recurring lower-body issue (fictional)
Orin Abernet,XEN,2024-25,59,82,4,3,16,0,recurring lower-body issue (fictional)
Orin Abernet,XEN,2023-24,67,82,2,2,11,0,recurring lower-body issue (fictional)
Rowan Northcott,ZEP,2025-26,78,82,2,2,0,0,
Rowan Northcott,ZEP,2024-25,79,82,2,1,0,0,
Rowan Northcott,ZEP,2023-24,78,82,2,2,0,0,
Kade Stroud,ARC,2025-26,51,82,5,4,22,0,recurring lower-body issue (fictional)
Kade Stroud,ARC,2024-25,44,82,6,5,27,0,recurring lower-body issue (fictional)
Kade Stroud,ARC,2023-24,54,82,4,4,20,0,recurring lower-body issue (fictional)
Orin Northcott,BOL,2025-26,76,82,3,3,0,0,
Orin Northcott,BOL,2024-25,78,82,2,2,0,0,
Orin Northcott,BOL,2023-24,79,82,2,1,0,0,
Xander Stroud,CRS,2025-26,75,82,4,3,0,0,
Xander Stroud,CRS,2024-25,74,82,4,4,0,0,
Xander Stroud,CRS,2023-24,76,82,3,3,0,0,
Jonah Ingram,DUN,2025-26,82,82,0,0,0,0,
Jonah Ingram,DUN,2024-25,80,82,1,1,0,0,
Jonah Ingram,DUN,2023-24,80,82,1,1,0,0,
Blake Blackwood,ALB,2025-26,69,82,2,2,9,0,recurring lower-body issue (fictional)
Blake Blackwood,ALB,2024-25,55,82,4,4,19,0,recurring lower-body issue (fictional)
Blake Blackwood,ALB,2023-24,47,82,5,5,25,0,recurring lower-body issue (fictional)
Hugo Zeller,BRV,2025-26,63,82,3,3,13,0,recurring lower-body issue (fictional)
Hugo Zeller,BRV,2024-25,51,82,5,4,22,0,recurring lower-body issue (fictional)
Hugo Zeller,BRV,2023-24,63,82,3,3,13,0,recurring lower-body issue (fictional)
Orin Jessop,CDR,2025-26,78,82,2,2,0,0,
Orin Jessop,CDR,2024-25,79,82,2,1,0,0,
Orin Jessop,CDR,2023-24,79,82,2,1,0,0,
Zane Wolcott,DLT,2025-26,78,82,2,2,0,0,
Zane Wolcott,DLT,2024-25,76,82,3,3,0,0,
Zane Wolcott,DLT,2023-24,75,82,4,3,0,0,
Eli Underhill,EMB,2025-26,77,82,3,2,0,0,
Eli Underhill,EMB,2024-25,77,82,3,2,0,0,
Eli Underhill,EMB,2023-24,78,82,2,2,0,0,
Ulises Marlow,FRG,2025-26,79,82,2,1,0,0,
Ulises Marlow,FRG,2024-25,79,82,2,1,0,0,
Ulises Marlow,FRG,2023-24,79,82,2,1,0,0,
Eli Ravensworth,GLN,2025-26,81,82,1,0,0,0,
Eli Ravensworth,GLN,2024-25,81,82,1,0,0,0,
Eli Ravensworth,GLN,2023-24,82,82,0,0,0,0,
Idris Yarrow,HVN,2025-26,79,82,2,1,0,0,
Idris Yarrow,HVN,2024-25,78,82,2,2,0,0,
Idris Yarrow,HVN,2023-24,78,82,2,2,0,0,
Yuri Ingram,IRN,2025-26,75,82,4,3,0,0,
Yuri Ingram,IRN,2024-25,74,82,4,4,0,0,
Yuri Ingram,IRN,2023-24,75,82,4,3,0,0,
Eli Quill,JAD,2025-26,78,82,2,2,0,0,
Eli Quill,JAD,2024-25,78,82,2,2,0,0,
Eli Quill,JAD,2023-24,79,82,2,1,0,0,
Finn Ravensworth,KNG,2025-26,75,82,4,3,0,0,
Finn Ravensworth,KNG,2024-25,75,82,4,3,0,0,
Finn Ravensworth,KNG,2023-24,77,82,3,2,0,0,
Vance Calloway,LYX,2025-26,81,82,1,0,0,0,
Vance Calloway,LYX,2024-25,80,82,1,1,0,0,
Vance Calloway,LYX,2023-24,80,82,1,1,0,0,
Niall Corvell,MTR,2025-26,78,82,2,2,0,0,
Niall Corvell,MTR,2024-25,79,82,2,1,0,0,
Niall Corvell,MTR,2023-24,77,82,3,2,0,0,
Eli Eastlake,NOV,2025-26,78,82,2,2,0,0,
Eli Eastlake,NOV,2024-25,80,82,1,1,0,0,
Eli Eastlake,NOV,2023-24,80,82,1,1,0,0,
Wes Stroud,ORC,2025-26,76,82,3,3,0,0,
Wes Stroud,ORC,2024-25,77,82,3,2,0,0,
Wes Stroud,ORC,2023-24,77,82,3,2,0,0,
Bram Wolcott,PHN,2025-26,76,82,3,3,0,0,
Bram Wolcott,PHN,2024-25,78,82,2,2,0,0,
Bram Wolcott,PHN,2023-24,76,82,3,3,0,0,
Hugo Calloway,QST,2025-26,79,82,2,1,0,0,
Hugo Calloway,QST,2024-25,77,82,3,2,0,0,
Hugo Calloway,QST,2023-24,79,82,2,1,0,0,
Orin Eastlake,RVR,2025-26,79,82,2,1,0,0,
Orin Eastlake,RVR,2024-25,76,82,3,3,0,0,
Orin Eastlake,RVR,2023-24,77,82,3,2,0,0,
Cam Wolcott,SUM,2025-26,81,82,1,0,0,0,
Cam Wolcott,SUM,2024-25,82,82,0,0,0,0,
Cam Wolcott,SUM,2023-24,80,82,1,1,0,0,
Blake Calloway,TID,2025-26,80,82,1,1,0,0,
Blake Calloway,TID,2024-25,81,82,1,0,0,0,
Blake Calloway,TID,2023-24,81,82,1,0,0,0,
Jonah Vexley,UMB,2025-26,60,82,4,3,15,0,recurring lower-body issue (fictional)
Jonah Vexley,UMB,2024-25,44,82,6,5,27,0,recurring lower-body issue (fictional)
Jonah Vexley,UMB,2023-24,58,82,4,3,17,0,recurring lower-body issue (fictional)
Kellan Corvell,VIP,2025-26,81,82,1,0,0,0,
Kellan Corvell,VIP,2024-25,80,82,1,1,0,0,
Kellan Corvell,VIP,2023-24,80,82,1,1,0,0,
Yuri Oakridge,WLD,2025-26,79,82,2,1,0,0,
Yuri Oakridge,WLD,2024-25,79,82,2,1,0,0,
Yuri Oakridge,WLD,2023-24,80,82,1,1,0,0,
Pax Zeller,XEN,2025-26,81,82,1,0,0,0,
Pax Zeller,XEN,2024-25,80,82,1,1,0,0,
Pax Zeller,XEN,2023-24,79,82,2,1,0,0,
Wes Ravensworth,YTI,2025-26,81,82,1,0,0,0,
Wes Ravensworth,YTI,2024-25,80,82,1,1,0,0,
Wes Ravensworth,YTI,2023-24,80,82,1,1,0,0,
Milo Pembrook,ZEP,2025-26,78,82,2,2,0,0,
Milo Pembrook,ZEP,2024-25,79,82,2,1,0,0,
Milo Pembrook,ZEP,2023-24,80,82,1,1,0,0,
Hollis Quill,ARC,2025-26,74,82,4,4,0,0,
Hollis Quill,ARC,2024-25,76,82,3,3,0,0,
Hollis Quill,ARC,2023-24,78,82,2,2,0,0,
Idris Birchwell,BOL,2025-26,74,82,4,4,0,0,
Idris Birchwell,BOL,2024-25,76,82,3,3,0,0,
Idris Birchwell,BOL,2023-24,74,82,4,4,0,0,
