Player,Team,Pos,Yahoo ID,XRank,Rank,Last 7 Days ADP,Status
Hollis Garrow,IRN,SF,ySMP0159,211,214,,
Marek Quill,JAD,SG,ySMP0160,180,191,180.2,
Jalen Northcott,KNG,"SF,PF",ySMP0161,184,182,185.3,
Zane Ingram,LYX,C,ySMP0162,242,213,,
Finn Calloway,MTR,SF,ySMP0163,123,143,135.3,
Tate Yarrow,NOV,SG,ySMP0164,263,263,,
Linus Underhill,ORC,"SF,PF",ySMP0165,136,149,147.4,
Gage Birchwell,PHN,C,ySMP0166,186,199,,INJ
Bram Lockhart,QST,"SG,SF",ySMP0167,156,176,153,
Finn Stroud,RVR,"SG,SF",ySMP0168,164,181,169.5,
Lior Vexley,SUM,C,ySMP0169,170,164,175.5,
Kade Marlow,TID,"SG,SF",ySMP0170,168,162,163.9,
Kade Dunmore,UMB,"PF,C",ySMP0171,252,273,,
Zane Fairbourne,VIP,SF,ySMP0172,172,186,160.4,
Cam Thorne,WLD,"SG,SF",ySMP0173,137,122,127.4,
Niall Pembrook,XEN,C,ySMP0174,97,108,107,GTD
Cam Northcott,YTI,"SF,PF",ySMP0175,190,192,,INJ
Lior Jessop,ZEP,PF,ySMP0176,160,153,171.2,
Hugo Quill,ARC,SG,ySMP0177,250,230,,
Niall Jessop,BOL,PG,ySMP0178,175,172,183.6,
Eli Zeller,CRS,"PG,SG",ySMP0179,169,163,169,
Ivo Pembrook,DUN,C,ySMP0180,254,261,,
Lior Underhill,ALB,C,ySMP0181,161,158,157.4,
Ivo Ashgrove,BRV,"SF,PF",ySMP0182,122,111,126.5,
Lior Draven,CDR,"SG,SF",ySMP0183,191,189,172.7,
Emeka Stroud,DLT,PG,ySMP0184,251,226,,GTD
Wes Garrow,EMB,SG,ySMP0185,163,190,182.1,
Rowan Marlow,FRG,SG,ySMP0186,240,243,,
Florian Calloway,GLN,SF,ySMP0187,127,135,130.1,
Linus Calloway,HVN,"SG,SF",ySMP0188,194,204,,
Vance Everly,IRN,SF,ySMP0189,236,250,,INJ
Dorian Northcott,JAD,"SF,PF",ySMP0190,257,267,,
Ansel Stroud,KNG,C,ySMP0191,244,229,,
Linus Lockhart,LYX,PF,ySMP0192,233,239,,
Bram Marlow,MTR,"SG,SF",ySMP0193,181,173,187.6,
Bram Dunmore,NOV,PG,ySMP0194,220,232,,
Emeka Garrow,ORC,SF,ySMP0195,192,193,191.1,
Vance Ingram,PHN,PG,ySMP0196,238,220,,
Idris Thorne,QST,PG,ySMP0197,121,121,127.1,
Zane Stroud,RVR,"SG,SF",ySMP0198,226,249,,
Nico Oakridge,SUM,C,ySMP0199,215,221,,
Rowan Hartwell,TID,C,ySMP0200,187,183,188.4,
Pax Wolcott,UMB,C,ySMP0201,218,211,,
Yuri Fairbourne,VIP,C,ySMP0202,140,145,143.4,
Dante Zeller,WLD,"PG,SG",ySMP0203,278,280,,
Eli Corvell,XEN,PG,ySMP0204,201,185,191.1,
Wes Kestrel,YTI,PG,ySMP0205,212,198,,
Jalen Yarrow,ZEP,C,ySMP0206,183,168,,
Yuri Lockhart,ARC,"PF,C",ySMP0207,222,231,,INJ
Cyrus Lockhart,BOL,SG,ySMP0208,171,171,185.4,
Linus Oakridge,CRS,SF,ySMP0209,217,205,,
Nico Eastlake,DUN,PF,ySMP0210,276,293,,
Blake Hartwell,ALB,PF,ySMP0211,167,141,156.9,
Jalen Ravensworth,BRV,C,ySMP0212,282,277,,
Jalen Pembrook,CDR,SF,ySMP0213,300,286,,
Marek Marlow,DLT,SG,ySMP0214,267,279,,GTD
Niall Draven,EMB,SF,ySMP0215,288,297,,
Jonah Oakridge,FRG,"SF,PF",ySMP0216,268,269,,
Linus Draven,GLN,SG,ySMP0217,271,259,,
Gage Everly,HVN,SF,ySMP0218,176,167,177.8,
Lior Blackwood,IRN,"PF,C",ySMP0219,274,283,,
Galen Eastlake,JAD,"SG,SF",ySMP0220,273,291,,
Kade Zeller,KNG,C,ySMP0221,275,251,,INJ
Tate Quill,LYX,C,ySMP0222,290,296,,INJ
Yuri Marlow,MTR,"PF,C",ySMP0223,266,252,,
Jonah Thorne,NOV,SF,ySMP0224,223,222,,
Pax Jessop,ORC,C,ySMP0225,227,256,,INJ
Soren Draven,PHN,SF,ySMP0226,130,140,131,
Vance Fairbourne,QST,SG,ySMP0227,193,195,,
Zane Pembrook,RVR,SF,ySMP0228,213,217,,
Jonah Blackwood,SUM,"SF,PF",ySMP0229,231,235,,
Galen Vexley,TID,C,ySMP0230,197,197,,
Yuri Dunmore,UMB,PG,ySMP0231,289,295,,
Tate Northcott,VIP,"SG,SF",ySMP0232,141,146,149.1,
Blake Fairbourne,WLD,SG,ySMP0233,259,284,,
Finn Northcott,XEN,SG,ySMP0234,199,187,189.2,
Wes Vexley,YTI,"SF,PF",ySMP0235,277,268,,GTD
Idris Abernet,ZEP,SF,ySMP0236,286,265,,
Marek Thorne,ARC,"PF,C",ySMP0237,239,254,,
Milo Marlow,BOL,PF,ySMP0238,177,188,177.2,
Marek Blackwood,CRS,PF,ySMP0239,203,202,,
Wes Oakridge,DUN,"SG,SF",ySMP0240,145,137,149.6,
Ansel Lockhart,ALB,C,ySMP0241,230,237,,
Orin Garrow,BRV,"PF,C",ySMP0242,246,241,,
Ulises Ingram,CDR,PG,ySMP0243,200,194,,
Kade Lockhart,DLT,"SG,SF",ySMP0244,279,276,,
Dante Dunmore,EMB,SG,ySMP0245,299,299,,
Avery Quill,FRG,C,ySMP0246,234,228,,
Kade Ingram,GLN,C,ySMP0247,207,219,,GTD
Hollis Wolcott,HVN,C,ySMP0248,147,154,171.2,
Jalen Ingram,IRN,"SF,PF",ySMP0249,165,178,165.7,
Quincy Kestrel,JAD,C,ySMP0250,248,227,,
Zane Calloway,KNG,"PG,SG",ySMP0251,243,238,,GTD
Zane Ravensworth,LYX,C,ySMP0252,272,253,,
Bram Eastlake,MTR,"PG,SG",ySMP0253,224,234,,
Ulises Vexley,NOV,PG,ySMP0254,150,175,143.7,
Xander Eastlake,ORC,"SG,SF",ySMP0255,221,224,,
Milo Stroud,PHN,PF,ySMP0256,269,271,,
Quincy Lockhart,QST,PF,ySMP0257,293,292,,
Eli Fairbourne,RVR,C,ySMP0258,173,169,157.5,
Kellan Fairbourne,SUM,"SF,PF",ySMP0259,298,294,,
Gage Stroud,TID,"PF,C",ySMP0260,262,272,,
Gage Marlow,UMB,"PF,C",ySMP0261,291,290,,
Marek Fairbourne,VIP,C,ySMP0262,255,258,,
Xander Jessop,WLD,PG,ySMP0263,209,212,,INJ
Florian Lockhart,XEN,C,ySMP0264,294,298,,
Yuri Abernet,YTI,PF,ySMP0265,132,118,122.7,
Jalen Marlow,ZEP,PG,ySMP0266,214,206,,
Kellan Abernet,ARC,"SF,PF",ySMP0267,133,138,145.5,
Rowan Oakridge,BOL,SG,ySMP0268,195,208,,
Emeka Yarrow,CRS,C,ySMP0269,261,236,,
Ulises Corvell,DUN,SF,ySMP0270,256,260,,INJ
Nico Fairbourne,ALB,C,ySMP0271,206,209,,
Tate Fairbourne,BRV,PG,ySMP0272,249,262,,
Blake Ravensworth,CDR,C,ySMP0273,287,300,,
Dorian Jessop,DLT,PF,ySMP0274,281,275,,
Cam Draven,EMB,C,ySMP0275,237,210,,
Linus Birchwell,FRG,"PF,C",ySMP0276,297,287,,
Finn Eastlake,GLN,C,ySMP0277,229,247,,
Eli Garrow,HVN,SF,ySMP0278,202,196,,
Dante Garrow,IRN,PF,ySMP0279,260,244,,
Idris Oakridge,JAD,SF,ySMP0280,245,255,,
Marek Kestrel,KNG,"PF,C",ySMP0281,235,223,,
Niall Dunmore,LYX,SG,ySMP0282,296,281,,
Linus Ashgrove,MTR,SF,ySMP0283,295,266,,
Ivo Wolcott,NOV,"PG,SG",ySMP0284,241,240,,INJ
Vance Jessop,ORC,SF,ySMP0285,280,274,,
Blake Stroud,PHN,"PG,SG",ySMP0286,285,285,,
Wes Marlow,QST,SF,ySMP0287,292,289,,
Cyrus Ravensworth,RVR,"PG,SG",ySMP0288,284,288,,
Hugo Draven,SUM,SG,ySMP0289,264,257,,
Emeka Pembrook,TID,C,ySMP0290,270,278,,
Hollis Pembrook,UMB,SF,ySMP0291,258,264,,
Eli Wolcott,VIP,"SG,SF",ySMP0292,208,177,,
Florian Quill,WLD,PG,ySMP0293,283,270,,
Pax Northcott,XEN,SF,ySMP0294,198,201,,
Vance Ashgrove,YTI,PF,ySMP0295,265,282,,
Orin Everly,ZEP,PG,ySMP0296,174,156,182.9,
Blake Yarrow,ARC,C,ySMP0297,189,179,,INJ
Orin Underhill,BOL,PF,ySMP0298,219,215,,
Hollis Thorne,CRS,C,ySMP0299,154,133,157.3,
Ulises Eastlake,DUN,SF,ySMP0300,247,246,,
