player,team,positions,yahooXRank,yahooRank,yahooL7Adp,providerRank,providerAdp,engineBpvRank,engineSeasonRank,enginePerGameRank,engineNeutral9CatRank,gp,strengths,weaknesses,risk,availabilityScore,disagreementFlags,deltaEngineVsProvider,deltaEngineVsXRank,deltaYahooL7AdpVsProviderAdp,severity,tentativeClasses,evidence
Linus Eastlake,JAD,C,35,43,49.2,51,,14,12,18,33,78,FG%; REB; BLK,FT%; 3PM; TO,LOW,98,,37,21,,MAJOR,PERCENTAGE_VOLUME_DIFFERENCE; INTENTIONAL_ENGINE_BEHAVIOR,"volume-weighted z FG 2.33, FT -4.32; neutral 9-cat rank 33 vs BPV rank 14 (TO weight 0.75, z-cap on FT%/REB/BLK)"
Vance Yarrow,BRV,PF/C,7,13,5.8,12,,15,34,5,6,57,FT%; 3PM; PTS; BLK,TO,MODERATE,71,,-3,-8,,NONE,,
Wes Quill,MTR,PF/C,29,7,9.9,20,,16,16,13,14,73,PTS; REB; BLK,TO,LOW,99,,4,13,,NONE,,
Kade Birchwell,ALB,PF,2,3,10.8,2,,17,15,19,18,76,3PM; PTS,FG%,LOW,98,,-15,-15,,DISAGREE,PERCENTAGE_VOLUME_DIFFERENCE,"volume-weighted z FG -1.52, FT 0.50"
Yuri Ravensworth,TID,SG/SF,39,51,52.2,50,,18,20,15,11,71,FT%; PTS,,LOW,97,projection Δ vs bbm,32,21,,MAJOR,SOURCE_DATA_MISMATCH; PERCENTAGE_VOLUME_DIFFERENCE,"projection Δ vs bbm; volume-weighted z FG -0.36, FT 2.09"
Orin Wolcott,SUM,SG/SF,59,41,46,44,,19,18,23,21,77,3PM; STL,,LOW,100,,25,40,,MAJOR,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Tate Oakridge,EMB,SF,8,4,12.5,4,,20,17,25,22,78,3PM; PTS; REB; STL,FG%,LOW,99,,-16,-12,,DISAGREE,PERCENTAGE_VOLUME_DIFFERENCE,"volume-weighted z FG -2.79, FT -0.56"
Quincy Fairbourne,MTR,PG,51,27,40.3,43,,21,19,27,28,77,FT%; 3PM; PTS; AST; STL,FG%; REB; BLK; TO,LOW,99,,22,30,,MAJOR,PERCENTAGE_VOLUME_DIFFERENCE,"volume-weighted z FG -1.24, FT 1.79"
Ulises Pembrook,DUN,PF,10,6,14.6,13,,22,22,22,19,72,FT%; PTS,,LOW,100,,-9,-12,,NONE,,
Gage Ashgrove,DLT,SG/SF,14,10,3.6,5,,23,21,28,29,76,FT%; 3PM; PTS; STL,FG%; TO,LOW,96,projection Δ vs bbm,-18,-9,,DISAGREE,SOURCE_DATA_MISMATCH; PERCENTAGE_VOLUME_DIFFERENCE,"projection Δ vs bbm; volume-weighted z FG -1.87, FT 1.69"
Marek Birchwell,CDR,PG,46,53,52.6,47,,24,26,21,23,70,FT%; PTS; AST; STL,FG%; TO,LOW,98,,23,22,,DISAGREE,PERCENTAGE_VOLUME_DIFFERENCE,"volume-weighted z FG -1.91, FT 2.00"
Milo Ashgrove,ARC,C,20,29,32.9,22,,25,24,26,24,73,FG%; PTS; REB; BLK,FT%; 3PM,LOW,97,,-3,-5,,NONE,,
Marek Oakridge,TID,C,23,11,17.4,9,,26,30,20,20,69,FG%; PTS; REB; BLK,FT%; 3PM; TO,LOW,90,projection Δ vs bbm,-17,-3,,DISAGREE,SOURCE_DATA_MISMATCH; PERCENTAGE_VOLUME_DIFFERENCE,"projection Δ vs bbm; volume-weighted z FG 1.78, FT -2.06"
Quincy Yarrow,KNG,SF,3,12,3.8,3,,27,31,24,25,70,PTS; STL,TO,LOW,97,,-24,-24,,DISAGREE,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Rowan Garrow,UMB,PF/C,19,45,32.4,33,,28,23,35,35,78,PTS,FT%,LOW,99,,5,-9,,NONE,,
Milo Northcott,PHN,PF,52,38,68.1,64,,29,28,30,27,74,,,LOW,98,,35,23,,MAJOR,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Soren Northcott,ORC,C,50,40,54.3,45,,30,27,32,26,75,REB; BLK,FT%; 3PM,LOW,99,,15,20,,DISAGREE,PERCENTAGE_VOLUME_DIFFERENCE,"volume-weighted z FG 0.63, FT -3.62"
Wes Birchwell,ALB,PG,45,32,27.1,42,,31,25,34,38,76,FT%; PTS; AST; STL,TO,LOW,98,,11,14,,NONE,,
Idris Lockhart,PHN,SF/PF,18,18,28.2,15,,32,29,33,34,75,3PM; PTS; STL,,LOW,99,,-17,-14,,DISAGREE,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Eli Vexley,NOV,PG,21,22,21.8,14,,33,33,36,31,74,3PM; PTS; AST,TO,LOW,97,,-19,-12,,DISAGREE,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Cam Ashgrove,FRG,PF,6,8,7,10,,34,53,14,16,52,3PM; PTS; REB,TO,MODERATE,70,,-24,-28,,DISAGREE,GP_DURABILITY_ADJUSTMENT; INTENTIONAL_ENGINE_BEHAVIOR,"GP 52, per-game rank 14 vs season-blended rank 34, risk MODERATE; neutral 9-cat rank 16 vs BPV rank 34 (TO weight 0.75)"
Milo Zeller,HVN,PG,12,23,16.4,16,,35,32,40,58,79,3PM; PTS; AST,FG%; TO,LOW,100,,-19,-23,,DISAGREE,PERCENTAGE_VOLUME_DIFFERENCE; INTENTIONAL_ENGINE_BEHAVIOR,"volume-weighted z FG -2.18, FT 0.84; neutral 9-cat rank 58 vs BPV rank 35 (TO weight 0.75, z-cap on AST/TO)"
Kade Draven,YTI,C,55,91,67,66,,36,35,41,41,77,FG%; REB; BLK,FT%; 3PM,LOW,98,,30,19,,MAJOR,PERCENTAGE_VOLUME_DIFFERENCE,"volume-weighted z FG 2.24, FT -3.10"
Florian Ravensworth,CRS,SF/PF,63,72,57.2,67,,37,36,47,45,78,STL,,LOW,98,,30,26,,MAJOR,GP_DURABILITY_ADJUSTMENT,"GP 78, per-game rank 47 vs season-blended rank 37, risk LOW"
Ulises Zeller,CDR,SG/SF,5,1,8.5,1,,38,37,38,37,70,3PM; PTS; STL,FG%; TO,LOW,98,,-37,-33,,MAJOR,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Hollis Fairbourne,EMB,SG,24,37,18.3,25,,39,57,29,30,57,FT%; 3PM; PTS,TO,HIGH,68,,-14,-15,,DISAGREE,GP_DURABILITY_ADJUSTMENT; PERCENTAGE_VOLUME_DIFFERENCE,"GP 57, per-game rank 29 vs season-blended rank 39, risk HIGH; volume-weighted z FG -0.15, FT 1.59"
Galen Stroud,WLD,SF,49,47,64.9,48,,40,43,37,36,67,,,LOW,98,projection Δ vs bbm,8,9,,NONE,,
Finn Marlow,BOL,PF,47,57,67.6,62,,41,61,31,32,58,REB; BLK,,MODERATE,70,,21,6,,DISAGREE,GP_DURABILITY_ADJUSTMENT,"GP 58, per-game rank 31 vs season-blended rank 41, risk MODERATE"
Tate Marlow,HVN,SG/SF,31,16,43.4,38,,42,39,44,43,71,3PM; PTS,FG%,LOW,98,,-4,-11,,NONE,,
Dante Quill,UMB,PF,57,60,47,56,,43,41,43,40,70,BLK,,LOW,99,,13,14,,NONE,,
Ulises Thorne,ZEP,PF/C,34,62,42,49,,44,38,50,49,74,,,LOW,94,,5,-10,,NONE,,
Orin Ravensworth,YTI,SF/PF,53,59,72.6,60,,45,40,49,44,72,STL,,LOW,99,,15,8,,DISAGREE,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Hugo Ravensworth,ZEP,C,25,17,23.8,40,,46,45,51,51,73,FG%; REB; BLK,FT%; 3PM,LOW,97,,-6,-21,,DISAGREE,PERCENTAGE_VOLUME_DIFFERENCE,"volume-weighted z FG 3.09, FT -2.33"
Soren Blackwood,VIP,C,58,50,49.6,53,,47,42,56,53,75,FG%; REB,FT%; 3PM,LOW,99,,6,11,,NONE,,
Idris Underhill,MTR,SF/PF,71,75,87.1,86,,48,48,53,50,72,,,LOW,100,,38,23,,MAJOR,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Hugo Kestrel,DUN,PG,111,98,120.9,125,,49,46,57,56,75,FT%; AST,,LOW,99,,76,62,,MAJOR,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Finn Wolcott,ARC,PF/C,48,52,57,58,,50,52,52,52,68,3PM,,LOW,98,,8,-2,,NONE,,
Zane Blackwood,CRS,SG/SF,43,28,42.3,41,,51,71,42,42,60,PTS; STL,,HIGH,69,,-10,-8,,NONE,,
Eli Fairbourne,RVR,C,173,169,157.5,175,,52,50,58,54,75,REB; BLK,3PM; PTS,LOW,90,,123,121,,MAJOR,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Emeka Corvell,EMB,SG,107,97,97.4,96,,53,44,66,62,80,STL,,LOW,98,,43,54,,MAJOR,GP_DURABILITY_ADJUSTMENT,"GP 80, per-game rank 66 vs season-blended rank 53, risk LOW"
Idris Pembrook,ORC,SG,113,106,97,110,,54,47,64,64,79,FT%; STL,FG%,LOW,99,,56,59,,MAJOR,GP_DURABILITY_ADJUSTMENT; INTENTIONAL_ENGINE_BEHAVIOR,"GP 79, per-game rank 64 vs season-blended rank 54, risk LOW; neutral 9-cat rank 64 vs BPV rank 54 (TO weight 0.75)"
Avery Lockhart,ORC,PF/C,28,35,27.5,26,,55,79,48,47,59,BLK,,HIGH,58,,-29,-27,,DISAGREE,GP_DURABILITY_ADJUSTMENT,"GP 59, per-game rank 48 vs season-blended rank 55, risk HIGH"
Florian Yarrow,VIP,PG/SG,81,103,86.5,88,,56,51,61,68,76,FT%; AST,REB; BLK,LOW,99,,32,25,,MAJOR,PERCENTAGE_VOLUME_DIFFERENCE; INTENTIONAL_ENGINE_BEHAVIOR,"volume-weighted z FG -0.46, FT 2.25; neutral 9-cat rank 68 vs BPV rank 56 (TO weight 0.75)"
Marek Stroud,LYX,PF/C,64,81,61.4,75,,57,49,67,65,78,,,LOW,99,,18,7,,DISAGREE,GP_DURABILITY_ADJUSTMENT,"GP 78, per-game rank 67 vs season-blended rank 57, risk LOW"
Finn Abernet,BRV,SF/PF,26,36,19.2,27,,58,88,39,48,54,PTS,TO,HIGH,64,,-31,-32,,MAJOR,GP_DURABILITY_ADJUSTMENT; INTENTIONAL_ENGINE_BEHAVIOR,"GP 54, per-game rank 39 vs season-blended rank 58, risk HIGH; neutral 9-cat rank 48 vs BPV rank 58 (TO weight 0.75)"
Soren Yarrow,GLN,SF/PF,30,24,22.6,17,,59,56,60,63,73,STL,,LOW,99,,-42,-29,,MAJOR,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Dorian Underhill,RVR,SG/SF,60,74,66.2,59,,60,66,59,61,70,3PM,,LOW,97,,-1,0,,NONE,,
Wes Calloway,RVR,SF/PF,65,67,65.2,68,,61,59,65,60,73,STL,,LOW,97,,7,4,,NONE,,
Dorian Garrow,ALB,SG,42,30,38.6,34,,62,63,62,79,72,3PM; PTS,FG%; TO,LOW,96,,-28,-20,,DISAGREE,PERCENTAGE_VOLUME_DIFFERENCE; INTENTIONAL_ENGINE_BEHAVIOR,"volume-weighted z FG -2.25, FT 0.14; neutral 9-cat rank 79 vs BPV rank 62 (TO weight 0.75)"
Galen Abernet,CRS,SF,78,83,69.9,72,,63,55,73,66,75,,,LOW,98,,9,15,,DISAGREE,GP_DURABILITY_ADJUSTMENT,"GP 75, per-game rank 73 vs season-blended rank 63, risk LOW"
Emeka Kestrel,LYX,PF/C,83,68,72.9,77,,64,64,63,59,72,,,LOW,97,,13,19,,DISAGREE,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Gage Draven,QST,C,56,48,55.6,63,,65,58,69,69,74,FG%; REB,3PM,LOW,98,,-2,-9,,NONE,,
Eli Birchwell,IRN,PG,82,79,89.2,82,,66,60,70,75,74,FT%; AST,REB; BLK,LOW,98,,16,16,,DISAGREE,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Niall Pembrook,XEN,C,97,108,107,107,,67,97,46,39,53,FG%; REB; BLK,3PM,HIGH,67,projection Δ vs bbm,40,30,,MAJOR,SOURCE_DATA_MISMATCH; GP_DURABILITY_ADJUSTMENT; INTENTIONAL_ENGINE_BEHAVIOR,"projection Δ vs bbm; GP 53, per-game rank 46 vs season-blended rank 67, risk HIGH; neutral 9-cat rank 39 vs BPV rank 67 (TO weight 0.75)"
Eli Zeller,CRS,PG/SG,169,163,169,159,,68,62,72,76,74,FT%; AST,REB,LOW,99,,91,101,,MAJOR,PERCENTAGE_VOLUME_DIFFERENCE,"volume-weighted z FG -0.47, FT 1.66"
Gage Abernet,DLT,PG/SG,85,93,94,92,,69,68,68,73,71,AST,REB; BLK,LOW,97,,23,16,,DISAGREE,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Linus Fairbourne,WLD,SG,93,84,79.4,87,,70,67,75,71,72,,,LOW,99,,17,23,,DISAGREE,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Quincy Marlow,QST,C,61,73,70.2,69,,71,65,79,81,75,FG%; REB,FT%; 3PM,LOW,95,,-2,-10,,NONE,,
Kade Wolcott,DUN,PG,73,54,75.1,76,,72,70,71,78,70,AST,REB,LOW,100,,4,1,,NONE,,
Milo Fairbourne,EMB,SF,89,109,101.5,99,,73,69,77,70,72,STL,FG%,LOW,97,,26,16,,DISAGREE,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Lior Everly,NOV,PF/C,38,25,28.6,28,,74,118,45,46,49,PTS; BLK,,HIGH,63,projection Δ vs bbm,-46,-36,,MAJOR,SOURCE_DATA_MISMATCH; GP_DURABILITY_ADJUSTMENT; INTENTIONAL_ENGINE_BEHAVIOR,"projection Δ vs bbm; GP 49, per-game rank 45 vs season-blended rank 74, risk HIGH; neutral 9-cat rank 46 vs BPV rank 74 (TO weight 0.75)"
Dorian Fairbourne,RVR,SG,103,89,82.1,80,,75,54,85,84,80,3PM,REB,LOW,99,,5,28,,DISAGREE,GP_DURABILITY_ADJUSTMENT,"GP 80, per-game rank 85 vs season-blended rank 75, risk LOW"
Hugo Yarrow,DLT,SG,44,46,45.2,32,,76,99,54,57,55,3PM; PTS; STL,TO,HIGH,50,,-44,-32,,MAJOR,GP_DURABILITY_ADJUSTMENT; INTENTIONAL_ENGINE_BEHAVIOR,"GP 55, per-game rank 54 vs season-blended rank 76, risk HIGH; neutral 9-cat rank 57 vs BPV rank 76 (TO weight 0.75)"
Ivo Yarrow,PHN,PG,110,105,93.3,108,,77,76,80,82,71,AST,REB,LOW,99,,31,33,,MAJOR,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Kellan Oakridge,IRN,SF/PF,22,26,29.5,24,,78,74,84,95,74,PTS,FG%; TO,LOW,97,,-54,-56,,MAJOR,PERCENTAGE_VOLUME_DIFFERENCE; INTENTIONAL_ENGINE_BEHAVIOR,"volume-weighted z FG -1.86, FT -0.20; neutral 9-cat rank 95 vs BPV rank 78 (TO weight 0.75)"
Quincy Corvell,ARC,C,74,64,59.9,65,,79,75,86,85,74,FG%; REB; BLK,FT%; 3PM; STL,LOW,98,,-14,-5,,NONE,,
Eli Ravensworth,GLN,C,162,157,161.2,148,,80,73,87,83,75,FG%; REB; BLK,FT%; 3PM,LOW,100,,68,82,,MAJOR,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Idris Thorne,QST,PG,121,121,127.1,120,,81,80,88,87,74,FT%; AST,FG%; REB; BLK,LOW,99,,39,40,,MAJOR,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Rowan Hartwell,TID,C,187,183,188.4,190,,82,72,96,88,80,REB; TO,3PM; PTS,LOW,99,,108,105,,MAJOR,GP_DURABILITY_ADJUSTMENT,"GP 80, per-game rank 96 vs season-blended rank 82, risk LOW"
Yuri Calloway,HVN,PF,37,44,45.9,36,,83,77,93,99,78,,FG%,LOW,99,projection Δ vs bbm,-47,-46,,MAJOR,SOURCE_DATA_MISMATCH; GP_DURABILITY_ADJUSTMENT; INTENTIONAL_ENGINE_BEHAVIOR,"projection Δ vs bbm; GP 78, per-game rank 93 vs season-blended rank 83, risk LOW; neutral 9-cat rank 99 vs BPV rank 83 (TO weight 0.75)"
Finn Pembrook,EMB,C,79,69,75.2,61,,84,136,55,55,48,FG%; REB; BLK,3PM; STL,MODERATE,75,,-23,-5,,DISAGREE,GP_DURABILITY_ADJUSTMENT; PERCENTAGE_VOLUME_DIFFERENCE; INTENTIONAL_ENGINE_BEHAVIOR,"GP 48, per-game rank 55 vs season-blended rank 84, risk MODERATE; volume-weighted z FG 1.81, FT -0.81; neutral 9-cat rank 55 vs BPV rank 84 (TO weight 0.75)"
Wes Ravensworth,YTI,C,151,130,146.6,146,,85,78,102,98,79,BLK,3PM,LOW,99,,61,66,,MAJOR,GP_DURABILITY_ADJUSTMENT; INTENTIONAL_ENGINE_BEHAVIOR,"GP 79, per-game rank 102 vs season-blended rank 85, risk LOW; neutral 9-cat rank 98 vs BPV rank 85 (TO weight 0.75)"
Emeka Jessop,BRV,PG/SG,105,126,120.6,132,,86,81,101,103,78,AST,REB; BLK,LOW,99,,46,19,,MAJOR,GP_DURABILITY_ADJUSTMENT; INTENTIONAL_ENGINE_BEHAVIOR,"GP 78, per-game rank 101 vs season-blended rank 86, risk LOW; neutral 9-cat rank 103 vs BPV rank 86 (TO weight 0.75)"
Pax Underhill,DLT,PF/C,88,100,85.9,90,,87,83,95,96,75,,,LOW,98,,3,1,,NONE,,
Soren Fairbourne,BOL,SF,118,131,110.1,124,,88,87,94,89,73,,,LOW,99,,36,30,,MAJOR,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Ivo Pembrook,DUN,C,254,261,,261,,89,117,82,67,59,REB; BLK; TO,3PM; PTS; STL,HIGH,62,Yahoo review: adp,172,165,,MAJOR,SOURCE_DATA_MISMATCH; GP_DURABILITY_ADJUSTMENT; INTENTIONAL_ENGINE_BEHAVIOR,"Yahoo review: adp; GP 59, per-game rank 82 vs season-blended rank 89, risk HIGH; neutral 9-cat rank 67 vs BPV rank 89 (TO weight 0.75)"
Orin Northcott,BOL,SG/SF,131,142,137.4,136,,90,90,92,92,72,,,LOW,98,,46,41,,MAJOR,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Dante Ashgrove,IRN,SG,80,77,66.7,70,,91,131,74,74,54,3PM; STL,,HIGH,67,projection Δ vs bbm,-21,-11,,DISAGREE,SOURCE_DATA_MISMATCH; GP_DURABILITY_ADJUSTMENT; INTENTIONAL_ENGINE_BEHAVIOR,"projection Δ vs bbm; GP 54, per-game rank 74 vs season-blended rank 91, risk HIGH; neutral 9-cat rank 74 vs BPV rank 91 (TO weight 0.75)"
Nico Fairbourne,ALB,C,206,209,,205,,92,86,98,90,74,BLK; TO,3PM; PTS,LOW,89,Yahoo review: adp,113,114,,MAJOR,SOURCE_DATA_MISMATCH,Yahoo review: adp
Blake Hartwell,ALB,PF,167,141,156.9,145,,93,82,108,107,78,,STL,LOW,99,,52,74,,MAJOR,GP_DURABILITY_ADJUSTMENT; INTENTIONAL_ENGINE_BEHAVIOR,"GP 78, per-game rank 108 vs season-blended rank 93, risk LOW; neutral 9-cat rank 107 vs BPV rank 93 (TO weight 0.75)"
Eli Eastlake,NOV,PG/SG,98,104,108,100,,94,91,99,105,73,AST,,LOW,98,,6,4,,NONE,,
Eli Thorne,UMB,PF,92,82,90.5,93,,95,126,81,80,57,,STL,MODERATE,76,,-2,-3,,NONE,,
Quincy Zeller,JAD,PF/C,70,65,49.4,54,,96,89,106,102,75,,,LOW,98,,-42,-26,,MAJOR,GP_DURABILITY_ADJUSTMENT,"GP 75, per-game rank 106 vs season-blended rank 96, risk LOW"
Jonah Northcott,IRN,SG/SF,1,2,2.4,6,,97,92,103,121,73,3PM; PTS,FG%; TO,LOW,99,,-91,-96,,MAJOR,PERCENTAGE_VOLUME_DIFFERENCE; INTENTIONAL_ENGINE_BEHAVIOR,"volume-weighted z FG -3.15, FT -0.63; neutral 9-cat rank 121 vs BPV rank 97 (TO weight 0.75, z-cap on FG%)"
Dorian Vexley,LYX,SG/SF,32,49,53.9,39,,98,85,109,120,77,,FG%,LOW,96,,-59,-66,,MAJOR,GP_DURABILITY_ADJUSTMENT; PERCENTAGE_VOLUME_DIFFERENCE; INTENTIONAL_ENGINE_BEHAVIOR,"GP 77, per-game rank 109 vs season-blended rank 98, risk LOW; volume-weighted z FG -2.07, FT 0.41; neutral 9-cat rank 120 vs BPV rank 98 (TO weight 0.75)"
Kade Abernet,CDR,C,225,225,,235,,99,94,100,91,71,FG%; BLK,3PM; STL,LOW,98,Yahoo review: adp,136,126,,MAJOR,SOURCE_DATA_MISMATCH,Yahoo review: adp
Kade Ingram,GLN,C,207,219,,226,,100,132,83,72,56,FG%; REB; TO,3PM; PTS,LOW,85,Yahoo review: adp,126,107,,MAJOR,SOURCE_DATA_MISMATCH; GP_DURABILITY_ADJUSTMENT; INTENTIONAL_ENGINE_BEHAVIOR,"Yahoo review: adp; GP 56, per-game rank 83 vs season-blended rank 100, risk LOW; neutral 9-cat rank 72 vs BPV rank 100 (TO weight 0.75)"
Lior Underhill,ALB,C,161,158,157.4,167,,101,84,113,110,78,REB; BLK,3PM; STL,LOW,99,,66,60,,MAJOR,GP_DURABILITY_ADJUSTMENT,"GP 78, per-game rank 113 vs season-blended rank 101, risk LOW"
Lior Vexley,SUM,C,170,164,175.5,173,,102,93,105,100,73,FG%; BLK,3PM; PTS; STL,LOW,90,,71,68,,MAJOR,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Yuri Eastlake,GLN,SF/PF,114,102,113.4,94,,103,96,112,106,74,,,LOW,98,,-9,11,,NONE,,
Lior Jessop,ZEP,PF,160,153,171.2,162,,104,95,115,108,75,,,LOW,90,,58,56,,MAJOR,GP_DURABILITY_ADJUSTMENT,"GP 75, per-game rank 115 vs season-blended rank 104, risk LOW"
Dorian Eastlake,NOV,PG,67,80,61.9,57,,105,150,78,97,51,3PM; AST,FG%; TO,HIGH,59,,-48,-38,,MAJOR,GP_DURABILITY_ADJUSTMENT; PERCENTAGE_VOLUME_DIFFERENCE,"GP 51, per-game rank 78 vs season-blended rank 105, risk HIGH; volume-weighted z FG -2.15, FT 0.34"
Jonah Ingram,DUN,PF/C,102,95,103.4,109,,106,98,114,111,74,,STL,LOW,99,,3,-4,,NONE,,
Wes Ingram,HVN,C,87,85,80.1,89,,107,105,107,101,70,REB; BLK,FT%; 3PM; STL,LOW,98,,-18,-20,,DISAGREE,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Quincy Eastlake,JAD,PG/SG,95,99,99,91,,108,100,110,123,72,AST,BLK; TO,LOW,97,,-17,-13,,DISAGREE,INTENTIONAL_ENGINE_BEHAVIOR,neutral 9-cat rank 123 vs BPV rank 108 (TO weight 0.75)
Hollis Quill,ARC,SG,120,155,137.8,131,,109,108,104,109,68,,REB,LOW,95,,22,11,,DISAGREE,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Jalen Yarrow,ZEP,C,183,168,,189,,110,106,111,104,71,FG%; REB; BLK,FT%; 3PM,LOW,99,Yahoo review: adp,79,73,,MAJOR,SOURCE_DATA_MISMATCH,Yahoo review: adp
Soren Marlow,BRV,SG,62,56,59.5,52,,111,175,76,77,45,3PM; PTS,FG%,HIGH,55,projection Δ vs bbm,-59,-49,,MAJOR,SOURCE_DATA_MISMATCH; GP_DURABILITY_ADJUSTMENT; INTENTIONAL_ENGINE_BEHAVIOR,"projection Δ vs bbm; GP 45, per-game rank 76 vs season-blended rank 111, risk HIGH; neutral 9-cat rank 77 vs BPV rank 111 (TO weight 0.75)"
