Name,Team,g,m/g,fgm,fga,ftm,fta,3pm,pts,reb,ast,stl,blk,to
Dorian Vexley,LYX,77,32.6,7.4,19,4,4.7,2.9,20,5.1,4.4,1,0.6,3.3
Quincy Fairbourne,MTR,77,33,9,19.4,5,5.7,3.7,25.5,2.9,9,1.1,0.2,3.8
Lior Everly,NOV,38,34.5,14,14.2,3.1,7,1.7,10.3,6.5,2.5,1.1,2.3,2.8
Soren Northcott,ORC,75,37,7.9,17.4,4.4,7.2,0.4,21.3,15.2,2.4,0.8,2.3,1.6
Milo Northcott,PHN,76,33.5,5.2,11.7,3.5,3.9,1.7,16.5,8.2,2.5,0.9,1.2,1.8
Gage Draven,QST,75,30.9,5.2,8.2,5,6.5,0.2,15.1,11.1,2.2,0.9,0.7,2.2
Dorian Underhill,RVR,70,33.5,5.9,13.2,3.5,4,3.5,17.9,5.5,3.9,0.9,0.4,2.3
Orin Wolcott,SUM,77,33.9,7.6,14.6,2.5,3.3,4.3,18.4,4.5,4.3,1.5,0.5,2.5
Yuri Ravensworth,TID,72,35.7,10.8,19.3,6.9,8.1,3,30.3,5.2,4.4,1,0.5,2.6
Dante Quill,UMB,71,33.5,6.8,13.5,2.8,3.7,1.7,17.4,7.8,2.5,0.8,1.3,2.1
Soren Blackwood,VIP,77,32.4,7.6,13.7,3.1,4.8,0.1,18.5,12.2,1.9,0.8,1.1,2.1
Galen Stroud,WLD,67,32.9,7.8,15.1,4.7,5.3,2.5,21.4,6.4,3.3,1,0.6,1.7
Florian Pembrook,XEN,73,27.7,4.7,11.5,2.4,3.3,2.7,15.3,4.2,1.9,1.1,0.5,2
Orin Ravensworth,YTI,73,31.6,6.7,14.2,2.1,2.9,2.1,16.4,6.4,3.2,1.4,0.7,1.6
Ulises Thorne,ZEP,75,30.8,5.6,11.6,3.2,3.7,2.3,15,7.8,2.7,0.6,1.3,1.8
Finn Wolcott,ARC,70,31.9,7.7,16.7,3.7,4.7,3.1,22.5,7.4,2.5,0.7,0.8,2.9
Finn Marlow,BOL,59,33.2,5.9,12.2,3.5,4.3,1.8,16.5,8.9,2.6,0.9,1.7,2.1
Florian Ravensworth,CRS,79,33.1,7.4,14.4,3.4,4.1,1.7,18.5,6.2,2.5,1.5,0.8,2.2
Galen Calloway,DUN,76,27.3,5.4,10.6,3.4,5.1,0.3,16,8.6,1.7,0.4,1.2,2.3
Wes Birchwell,ALB,77,32.1,7.7,17.4,5.1,5.4,2.6,23.9,4.2,12.2,1.2,0.3,4.7
Soren Marlow,BRV,29,32.6,9.6,21.2,1.9,6.5,3.5,26.3,3.9,4.1,1,0.6,2
Bram Pembrook,CDR,75,29.4,6.1,15.1,2,2.7,3.7,16.4,3.6,3.7,1.1,0.3,2
Gage Abernet,DLT,72,26.8,4.3,7.2,2.9,4,2.2,13.7,3,7.7,1.1,0.2,2.5
Finn Pembrook,EMB,47,30.3,4.8,4.8,1.5,4.4,0.3,12.6,10.3,1.8,0.5,2.2,1.8
Soren Wolcott,FRG,33,27.1,3.4,15.6,1.3,2.4,1.6,8.8,4.5,1.6,0.5,0.9,0.7
Yuri Eastlake,GLN,76,27.4,6.8,12.7,1.9,2.3,1.1,14.3,5.5,2.3,1.1,0.4,1.4
Tate Marlow,HVN,73,35.1,9.7,20.3,5.7,7.3,3.6,24.1,5,4.2,1.1,0.6,2.6
Dante Ashgrove,IRN,50,29.8,8.7,17,3.3,3.9,2.8,18,6.3,3.7,1.6,0.4,3.4
Quincy Zeller,JAD,76,31.3,5.4,11.1,3.2,4.4,2,15.6,7.7,1.8,0.5,0.8,1.6
Linus Blackwood,KNG,73,28.4,4.3,8.8,2.4,2.4,1.1,11.4,7,1.7,0.4,0.4,1.3
Marek Stroud,LYX,80,29.8,6.5,12,3.4,4.3,2.3,16.1,6.9,1.7,0.6,1,1.6
Idris Underhill,MTR,74,29.3,5.3,11.9,2.7,3.1,2.2,15.7,6.7,2.9,1.1,0.7,1.8
Dorian Eastlake,NOV,53,34.2,8.2,19.4,3.5,4.4,3.6,24,4.2,10.9,1.1,0.3,4.7
Rowan Calloway,ORC,75,29.9,6.4,14.4,2.6,3.5,2.1,16.5,5.6,2.8,0.7,1,1.8
Ivo Yarrow,PHN,73,26.6,5,12.5,2,2.2,2.3,14,3.2,6.8,1.1,0.3,2.2
Quincy Marlow,QST,76,26.5,6.1,10.4,3,4.7,0.3,16,10.5,2,0.6,1.1,2
Wes Calloway,RVR,73,31.5,6.6,14.1,3.4,3.9,2.4,18,5.7,2.8,1.2,0.6,1.7
Xander Blackwood,SUM,75,29.4,8.3,17.4,2.1,3.7,1.4,19.2,6.1,3.2,1.1,0.7,2
Cam Garrow,TID,74,26.9,5.7,8,3,4.6,0.3,13.9,9.3,2,0.6,0.6,1.8
Hugo Lockhart,UMB,73,29,6.1,13.8,2.1,2.4,2.5,17.2,3.8,2.7,1,0.4,1.7
Florian Yarrow,VIP,77,27.2,4.9,10.2,4.6,5.5,2.2,14.6,2.8,8,0.9,0.3,2.8
Linus Fairbourne,WLD,74,27.7,6.9,13.9,3.5,4.3,2.5,19.1,3.9,3.6,0.9,0.4,1.9
Niall Abernet,XEN,38,33.2,9,16.1,2.7,4.8,2.6,25.2,3.5,6.3,1.5,0.3,3.2
Kade Draven,YTI,77,31.9,6.5,10.5,4.3,6.5,0.4,17.2,11.7,1.4,0.7,1.9,2.1
Finn Oakridge,ZEP,38,28.2,2.2,7.3,2.7,2.7,2.3,15.3,11,1.9,0.5,0.8,1.1
Quincy Corvell,ARC,76,30.9,4.7,7.6,1.7,2.7,0.2,11.2,12.7,1.8,0.5,1.5,2.1
Soren Fairbourne,BOL,74,26.4,5.2,10.8,2.2,2.6,1.2,12.8,4.7,2.9,0.9,0.8,1.2
Galen Abernet,CRS,76,30.4,6.7,14.3,2.9,3.6,2,20.2,5.4,2.4,1.1,0.6,1.5
Kade Wolcott,DUN,72,29.3,6.3,14.9,2.3,2.8,1.9,17.1,3,9.2,0.9,0.4,2.7
Gage Fairbourne,ALB,69,28.7,5.5,12.1,2.2,2.9,1.1,14.1,5.5,2.3,0.4,0.4,1.2
Emeka Jessop,BRV,79,27.4,3.4,6.7,1.9,2.1,1.9,10.4,3,6.7,0.9,0.2,2.3
Rowan Eastlake,CDR,72,23.2,4.3,10.8,1.5,1.8,1.9,11.2,2,5,0.7,0.2,1.6
Pax Underhill,DLT,76,25.8,5.9,11.9,3.7,4.4,1.8,16.5,5.2,1.7,0.6,0.9,1.5
Emeka Corvell,EMB,81,29.5,5.3,12.1,1.8,2.2,2.7,14.9,4.3,3.3,1.1,0.5,1.8
Idris Fairbourne,FRG,75,30.7,6.9,16.9,3,3.8,1.3,16.3,4.2,6.8,1.2,0.2,3.1
Gage Northcott,GLN,58,26.8,4.5,10.8,2.6,3,2.6,13.4,3.7,3,1,0.4,1.5
Wes Ingram,HVN,71,25.5,3.7,5.9,1.8,2.4,0.3,9.4,9.9,1.8,0.5,1.4,1.5
Eli Birchwell,IRN,75,26.8,5.2,11.3,3.9,4.6,2.7,16.5,2.8,7.9,0.9,0.2,2.4
Quincy Eastlake,JAD,73,29.3,5,11.8,2.2,2.9,2.4,13.6,4,6.9,1.1,0.3,3.1
Nico Dunmore,KNG,78,20.1,3.3,6,0.8,1,0.5,7.9,3.6,1.3,0.5,0.8,0.9
Emeka Kestrel,LYX,73,30.5,6.2,12.3,1.2,2,1.9,14.7,6.6,2.4,0.8,1.1,1.4
Bram Hartwell,MTR,76,24,3.3,5.4,2,2.4,0.3,8.6,8.2,1.3,0.5,1.1,1.2
Galen Quill,NOV,77,23.5,4.5,9.5,1.8,2.4,1.5,11.8,4.7,2.1,0.8,0.4,1.3
Idris Pembrook,ORC,80,28.2,4.4,10.8,3.8,4.3,3.2,15.3,3.5,3,1.2,0.5,2
Linus Everly,PHN,71,25.7,2.9,6.1,1.4,1.7,1.6,8.3,3.5,3.1,0.6,0.3,1.2
Zane Jessop,QST,81,23.7,4.2,10.6,1.1,1.3,1.4,11.4,2.7,4.4,0.8,0.2,1.7
Dorian Fairbourne,RVR,82,27.2,4,10.5,2.3,2.6,3.6,13.1,3.6,2.5,1.2,0.4,1.6
Florian Stroud,SUM,74,25.8,3.7,7.4,1.8,2.2,2.3,10.9,4,2.6,0.6,0.4,1.4
Ansel Pembrook,TID,71,24.4,3.9,8.8,2.6,3,1.4,11.4,5,1.5,0.7,0.9,1.4
Eli Thorne,UMB,58,28.6,5.5,11.7,2.9,3.5,2,14.5,7.2,2.1,0.6,1.1,1.6
Ivo Vexley,VIP,49,26.3,4.1,8.1,1.4,1.8,1.5,10.1,6.3,2.4,0.6,0.9,1.2
Kellan Calloway,WLD,76,22.8,4.5,10,1.7,2.3,1.9,12.2,3.8,2.4,0.5,0.3,1.1
Orin Abernet,XEN,63,27.1,4.5,9.8,1.6,2,1.1,10.9,3.5,6.9,1.1,0.2,2.2
Hollis Northcott,YTI,79,29.9,5.6,10.9,1.9,2.4,1.7,14.4,6.5,1.9,0.8,0.2,1.5
Rowan Northcott,ZEP,78,21,4.3,8.6,1.7,2,0.8,9.9,4.7,1.3,0.5,0.8,1
Kade Stroud,ARC,48,24.6,2.7,6.8,2.1,2.3,2,9.2,3,5.7,0.6,0.3,2.1
Orin Northcott,BOL,73,27.7,5.5,12.2,1.6,1.7,2.5,13.9,3.8,3.8,0.9,0.5,1.5
Xander Stroud,CRS,74,25.8,5.3,10.6,1.9,3.1,1.7,14.3,4.5,3.5,0.8,0.3,1.3
Jonah Ingram,DUN,75,24.9,3.5,6.6,1.7,1.9,1.7,10.4,6.7,2.2,0.5,1.2,1.6
Blake Blackwood,ALB,63,24.5,5.5,13.3,2.7,3.1,2.6,15.2,4.1,2.8,0.9,0.5,1.4
Hugo Zeller,BRV,53,25.2,4.5,8.3,2.6,3.6,1.7,13,4.9,2.9,0.8,0.3,1.6
Orin Jessop,CDR,73,22.5,3.3,6.9,1.9,2.3,1.1,9.3,5.1,1.9,0.7,0.3,1
Zane Wolcott,DLT,79,22.3,4.2,9.3,1.7,1.9,1.6,10.4,3.2,2.2,0.7,0.4,1.5
Eli Underhill,EMB,76,24.3,4.5,9.5,2.2,3.1,2.7,12.5,3.7,3,0.7,0.3,1.1
Ulises Marlow,FRG,71,21,3.2,7.7,1.5,2,1,9.5,3.9,1.6,0.9,0.5,1.2
Eli Ravensworth,GLN,76,26.5,3.6,6.1,1.8,3.1,0.3,8.1,9.3,1.7,0.6,1.4,1.2
Idris Yarrow,HVN,77,23.8,3.2,7.5,1.2,1.2,1.6,8.8,2.2,4.8,0.9,0.1,2
Yuri Ingram,IRN,74,24,4.9,11.8,1.4,1.5,1.8,11.7,3.1,5,0.5,0.2,2
Eli Quill,JAD,72,21.6,3.2,6,1.6,2.4,0.2,7.3,7.4,1.7,0.4,0.9,1.3
Finn Ravensworth,KNG,74,26.5,4.9,11.4,2.6,2.8,1.5,13.4,2.8,5.7,1,0.3,2.7
Vance Calloway,LYX,79,25.7,4.5,9.4,1.9,2.6,1.5,11.2,5.6,1.7,0.7,0.7,1.1
Niall Corvell,MTR,76,24.5,3.9,7.7,1.8,2.2,2,11.3,3.3,5.2,0.8,0.1,2.4
Eli Eastlake,NOV,73,26,4.7,9.2,2.3,2.9,2.2,12.2,3.5,6.3,1,0.3,2.9
Wes Stroud,ORC,72,21,2.8,7.1,1.8,2,1.2,8.5,3.3,2.3,0.6,0.4,0.8
Bram Wolcott,PHN,76,22.9,3.4,6.6,1.6,1.9,1.2,9,5,2.1,0.7,0.6,1
Hugo Calloway,QST,74,23.6,3.7,7.4,1.2,1.4,0.8,7.6,5.2,1.7,0.5,0.7,1.3
Orin Eastlake,RVR,80,21.1,3.5,6,2,2.4,1,9.5,5,1.6,0.4,0.7,0.9
Cam Wolcott,SUM,75,26.5,4.2,7.8,1.6,1.9,1.4,10.5,4.5,2.2,0.3,1,1.2
Blake Calloway,TID,76,23.7,4,8,2.3,3.1,1,10.5,4.4,2.3,0.8,0.6,0.7
Jonah Vexley,UMB,45,23.7,4.4,5.3,1.2,2.9,0.1,11.9,6.3,1.7,0.5,1.4,1.1
Kellan Corvell,VIP,80,21.6,2.7,6.2,1.3,1.3,1.2,7.1,2.9,3.2,0.8,0.1,1.6
Yuri Oakridge,WLD,68,24.2,4.8,9.1,2.7,3.1,1.1,12.9,5.4,1.6,0.4,1.1,1.3
Pax Zeller,XEN,71,23.5,4.2,8.2,1.4,1.6,1.2,9.8,5,2.2,0.8,0.4,1.2
Wes Ravensworth,YTI,79,24.7,4.5,7.3,2,2.9,0.2,11.2,8,1.7,0.6,1.4,1.2
Milo Pembrook,ZEP,73,20.4,3,5.8,1.7,2.4,0.2,8.8,6.3,1.5,0.4,1.5,1
Hollis Quill,ARC,69,28.7,6.7,14.6,2,2.6,2.7,16.2,3.1,3.5,0.9,0.4,2.5
Idris Birchwell,BOL,75,23.7,3.1,6.9,1.3,1.6,1,7.9,5.1,1.7,0.5,0.8,0.9
Ivo Everly,CRS,81,19.2,3.3,6.1,1.4,2.2,0.6,8.1,4.2,1.6,0.6,0.5,0.7
Hugo Kestrel,DUN,76,26.9,5,10.6,2.1,2.2,2.6,13.7,3.7,7.3,1.1,0.3,2.7
Avery Ashgrove,ALB,51,26.2,5.8,13.3,3.2,4,2.4,16.1,3.5,3.6,1,0.3,1.6
Nico Ashgrove,BRV,73,24.6,3.5,9.1,1.9,2.3,2.2,10.7,2.6,5.6,1.1,0.1,2.2
Kade Abernet,CDR,72,23,3.6,6.2,1.9,2.4,0.2,9.6,7.9,1.7,0.4,1.4,0.9
Bram Birchwell,DLT,71,23.4,3.7,8.1,2.9,3.2,1.4,12.1,2.5,5.2,0.6,0.2,2.3
Milo Fairbourne,EMB,73,33,6.7,15.7,3.1,3.7,1.5,17,7.8,3.3,1.2,0.6,1.6
Kade Ashgrove,FRG,58,22.9,3.1,6.6,1.6,2,2,9.1,2.9,5,1.4,0.2,1.7
Jalen Zeller,GLN,53,25.6,3.9,7.9,1.5,2.2,1.3,10.6,4.9,1.5,0.6,0.7,1.3
Ivo Calloway,HVN,69,21,3.6,8,1.6,2.1,1.8,10.3,2.2,5.7,0.8,0.3,1.4
Hollis Garrow,IRN,73,21.4,3.1,7.1,1.3,1.7,1.4,7.7,4.3,1.7,0.9,0.4,0.8
Marek Quill,JAD,72,20.2,3.3,6.4,1.5,2,0.9,8.9,2.9,2.4,0.6,0.2,1
Jalen Northcott,KNG,76,21.5,3.2,6.3,1.5,2.1,1.3,9.2,4.2,1.6,0.9,0.4,1.1
Zane Ingram,LYX,79,17.2,2.6,4.5,1.4,2.4,0.2,6.8,5.7,1.1,0.4,0.7,0.9
Finn Calloway,MTR,77,24.7,3.6,7.9,1.6,1.7,0.9,9.7,4.3,2.7,0.7,0.5,1.6
Tate Yarrow,NOV,70,16.4,2.7,7.3,1.6,2.1,1.2,8.4,2.5,2,0.3,0.2,0.8
Linus Underhill,ORC,74,23.6,3.5,7.6,1.3,1.9,1.1,9.4,4.7,2.4,1.3,0.5,1
Gage Birchwell,PHN,52,22.7,2.8,5.2,1.2,1.7,0.2,6.5,6.9,1.8,0.5,1.4,0.9
Bram Lockhart,QST,80,20.9,4.1,9.1,1.8,2.1,1.4,10.6,3,2.9,0.5,0.3,0.9
Finn Stroud,RVR,77,17.6,2.8,5.9,0.9,1.4,1.3,7.3,2.6,2.2,0.4,0.2,0.7
Lior Vexley,SUM,74,24.3,3.6,5.3,1.1,2,0.2,8.5,7.8,2,0.5,1.5,1.3
Kade Marlow,TID,77,22.2,3.4,8.1,1.6,1.8,1.6,9.4,2.9,2.7,0.5,0.1,0.9
Kade Dunmore,UMB,76,21.7,2.5,5.4,1.1,1.5,1,6.9,4,1.4,0.3,1,0.7
Zane Fairbourne,VIP,75,19.6,2.5,5.8,1,1.3,0.7,6.9,4.2,1.9,0.6,0.4,1
Cam Thorne,WLD,70,24.3,4.6,10.3,1,1.2,2,11.4,3.7,2.3,0.6,0.5,1.4
Niall Pembrook,XEN,43,30,3.5,7.9,3.1,4.1,0.2,13.2,8.6,3,0.6,1.7,1.7
Cam Northcott,YTI,37,24.7,2.8,8.6,1.5,2.4,0.6,7.1,4.1,2.2,0.8,0.9,1
Lior Jessop,ZEP,76,22.4,4,8.2,2.4,2.9,1.2,11.4,5.4,1.7,0.6,0.8,1.2
Hugo Quill,ARC,82,22.4,3.7,7.4,1.4,2,1,9.8,2.9,2.2,0.7,0.4,1
Niall Jessop,BOL,80,23.4,3.1,6.9,2.2,2.5,1.2,8.9,2.9,4.8,0.8,0.2,1.8
Eli Zeller,CRS,76,26.3,4.7,9.5,3.5,3.5,2.4,15.6,3.3,7.7,0.8,0.4,2.7
Ivo Pembrook,DUN,60,22.2,2.4,4,0.9,1.2,0.2,5.2,9.7,1.8,0.5,1.5,0.6
Lior Underhill,ALB,79,25.1,4.5,7.9,2.1,3.4,0.3,10.6,9.6,1.5,0.4,1.4,1.5
Ivo Ashgrove,BRV,77,22,3.1,6.4,1.5,2.1,1.3,8.7,4.2,2.2,0.7,0.3,1.4
Lior Draven,CDR,77,23.8,4.1,9.4,2.5,3,2.2,13,3.5,2.6,0.7,0.3,1.4
Emeka Stroud,DLT,44,22.2,2.3,8.3,2,2,0.9,11.6,2.7,5.3,0.9,0.3,1.4
Wes Garrow,EMB,76,25.9,4.6,10.1,1.5,1.8,1.9,11.1,2.9,2.9,1,0.4,1.3
Rowan Marlow,FRG,72,21.9,3.3,6.6,2,2.6,1.4,8.7,2.7,2.8,0.6,0.3,1
Florian Calloway,GLN,70,22.8,6.6,13.1,2.7,3,1.2,15.8,4.9,2.4,0.6,0.4,1.3
Linus Calloway,HVN,77,24.6,3.7,9.2,1.8,2,1.2,10.5,3.7,3.2,0.6,0.3,1.2
Vance Everly,IRN,46,22.3,3.3,7.1,1.5,2,1.4,9.7,4.3,2.2,0.7,0.3,1.2
Dorian Northcott,JAD,73,23.2,2.5,4.7,0.8,1.1,1,6.2,4.1,2.4,0.8,0.5,0.8
Ansel Stroud,KNG,71,26.2,4.4,7.6,2.7,4.6,0.3,13.5,9.4,1.7,1,0.8,1.3
Linus Lockhart,LYX,77,18.2,2.1,4.4,0.8,0.9,0.6,5,4.8,1.3,0.4,0.6,0.6
Bram Marlow,MTR,76,24.4,2.9,7,0.8,1.1,1.6,7.1,4.7,3.3,0.6,0.3,1
Bram Dunmore,NOV,76,21.2,3,8.2,1,1.3,1.3,8.2,2.5,5.1,0.9,0.2,1.4
Emeka Garrow,ORC,76,21.4,3.2,6.5,1.5,1.9,1,8.5,3.9,2.4,0.7,0.4,1
Vance Ingram,PHN,75,23.2,3.5,7.3,0.9,1.2,1.4,8.3,2.2,5.6,1,0.2,2.2
Idris Thorne,QST,74,25.7,6.8,15.5,3.8,4.5,2.1,18.9,3.1,7.7,0.9,0.2,2.2
Zane Stroud,RVR,68,23.9,3,7.8,2,2.5,1.2,9.6,2.6,3.2,0.6,0.3,1.4
Nico Oakridge,SUM,71,19.1,3.3,5.5,0.9,1.5,0.2,7.6,6.4,1.1,0.5,1.3,1.1
Rowan Hartwell,TID,81,23.5,3.2,5,1.7,2.4,0.3,7.8,9.7,1.8,0.6,0.8,0.9
Pax Wolcott,UMB,75,17.3,2.5,4.3,1.3,2.2,0.2,6.5,5.9,1.4,0.5,0.8,0.7
Yuri Fairbourne,VIP,76,24.9,3.6,6.2,2,3.5,0.3,9.2,8.3,1.8,0.4,1.2,1.3
Dante Zeller,WLD,76,17.1,2.2,4.9,1.2,1.4,0.7,6.2,2.3,2.2,0.8,0.2,0.7
Eli Corvell,XEN,74,19.4,1.3,3,1.1,1.3,1.4,4.8,1.8,2.9,0.7,0.2,1.6
Wes Kestrel,YTI,74,19.3,1.4,3.2,1,1.2,1.5,4.8,1.8,4.2,0.7,0.1,1.7
Jalen Yarrow,ZEP,73,23.7,4,6.4,2,3,0.2,9.3,9.3,1.5,0.6,1.4,1.4
Yuri Lockhart,ARC,43,20.5,2.8,5.4,0.8,1,0.8,7.1,3.3,1.3,0.4,0.5,0.9
Cyrus Lockhart,BOL,73,23.5,4.3,11,2.3,2.6,1.3,12.1,3.4,3.2,0.8,0.5,1.3
Linus Oakridge,CRS,76,24,2.8,6.6,1.2,1.8,1.4,7.8,3.7,2.1,1.1,0.4,1.5
Nico Eastlake,DUN,80,20.7,2.8,5.4,1,1.3,0.8,7,4.5,1.6,0.4,0.9,0.7
Blake Hartwell,ALB,78,26.9,5,11.3,2.2,2.6,1.8,13.6,6.8,1.8,0.5,1.4,2.1
Jalen Ravensworth,BRV,59,22.3,2.6,4.4,1.6,2.1,0.2,6.5,8.7,1.8,0.6,1.2,1
Jalen Pembrook,CDR,76,17.6,2,4.2,0.5,0.6,0.7,5,3.6,1.7,0.5,0.2,0.6
Marek Marlow,DLT,45,20.5,2,4.9,0.6,1.1,1.1,9.4,3.2,2,0.5,0.2,1
Niall Draven,EMB,78,16,2.2,5.1,0.6,0.7,0.6,5.4,2.5,1.8,0.5,0.3,0.6
Jonah Oakridge,FRG,76,20.1,2.7,5.5,1.3,1.9,1,7.8,3.6,1.8,0.8,0.5,0.8
Linus Draven,GLN,75,22.4,4.3,8.3,2.2,2.4,1,12.5,3.1,2.8,0.8,0.3,1.7
Gage Everly,HVN,58,24.6,3.1,6.5,1.2,1.3,1.2,8.5,5.7,1.8,0.6,0.6,1.1
Lior Blackwood,IRN,60,21.5,2.3,5.7,1,1.1,0.6,6.1,5.2,1.4,0.5,0.8,1
Galen Eastlake,JAD,80,23.2,2.6,5.4,1.1,1.2,1,7.3,2.3,2.7,0.9,0.5,0.7
Kade Zeller,KNG,42,20.6,2.7,5.2,0.9,1.3,0.2,6,8,1.8,0.5,0.8,0.8
Tate Quill,LYX,46,18.4,2.3,3.8,1.2,1.5,0.2,5.7,6.7,1.2,0.2,1,0.6
Yuri Marlow,MTR,77,20.4,4.5,11.1,2.5,3.2,1.6,11.2,4.6,1.4,0.5,0.7,1.3
Jonah Thorne,NOV,77,20.7,3.2,6.1,1.8,2.3,1.1,8.7,4.4,1.7,0.5,0.3,0.8
Pax Jessop,ORC,57,22.4,3.9,7.5,1.4,2,0.2,10.5,6.5,1.7,0.4,1.6,1.4
Soren Draven,PHN,75,23.4,4.9,11.4,2.1,3.3,1.5,12,3.9,2.1,0.7,0.5,1.3
Vance Fairbourne,QST,53,19.6,2.2,4.6,0.6,0.8,0.8,5.5,2.9,2.3,0.7,0.3,1.1
Zane Pembrook,RVR,70,23.3,3,6.2,1.7,2.1,1.2,8,5,2.4,1.1,0.3,1.3
Jonah Blackwood,SUM,72,22,4.5,10,2.5,3.1,0.5,11.4,4.5,2.1,0.7,0.5,1
Galen Vexley,TID,78,22.3,3.2,5,2.2,3.3,0.2,8,6.4,1.8,0.6,1.4,1.1
