R#,ADP,PLAYER,TEAM,POS,GP,MPG,FG%,FT%,3PM,PTS,REB,AST,STL,BLK,TO,W18,W19,W20,W21
22,25,Milo Ashgrove,ARC,C,73,34.7,0.619 (9.5/15.3),0.588 (3.7/6.3),0.2,22.7,12.9,2.1,0.7,1.8,2.6,3,4,3,4
37,32,Cyrus Ingram,BOL,"SG,SF",80,37,0.483 (11.5/23.7),0.913 (6.4/7),4.5,32.1,5.1,3.6,1.5,0.4,3.1,4,4,3,3
41,42.3,Zane Blackwood,CRS,"SG,SF",60,32.4,0.471 (8.2/17.5),0.775 (4.6/5.9),3,22.9,4.6,3.2,1.3,0.7,2.5,3,3,3,4
13,19,Ulises Pembrook,DUN,PF,72,37,0.48 (9.2/19.2),0.886 (3.7/4.2),1.9,23.3,7.5,2.4,1.1,1.2,2.8,4,3,3,3
34,40.5,Dorian Garrow,ALB,SG,72,37,0.405 (7.8/19.2),0.779 (5.2/6.6),5.4,24.3,5.9,5.1,0.9,0.4,3.5,4,4,3,4
27,22,Finn Abernet,BRV,"SF,PF",54,37,0.497 (8.9/17.9),0.724 (4.6/6.4),3,24.2,8.2,3.3,1.1,0.7,3.6,4,3,4,4
47,52.3,Marek Birchwell,CDR,PG,70,37,0.432 (10.8/25),0.913 (4.5/4.9),2.9,28,3.7,10.3,1.3,0.4,3.8,4,4,3,4
32,51.7,Hugo Yarrow,DLT,SG,55,36.4,0.451 (8.4/18.7),0.801 (4/4.9),3.9,23.3,4.7,4.6,1.2,0.4,3.4,3,4,3,3
25,22.8,Hollis Fairbourne,EMB,SG,57,34.4,0.476 (8.3/17.3),0.884 (4.4/5),4,23.4,4.9,4.8,1.1,0.3,3.1,4,4,3,4
35,29.5,Emeka Blackwood,FRG,C,73,36.6,0.617 (11.2/18.2),0.707 (5/7.1),0.3,27.7,10.3,3,0.9,1.7,3.4,4,4,4,3
17,22.1,Soren Yarrow,GLN,"SF,PF",73,35.6,0.478 (4.9/10.3),0.753 (3.8/5.1),2.3,15.1,6.4,3.2,1.3,0.5,2.3,3,4,4,3
36,46.9,Yuri Calloway,HVN,PF,78,28,0.432 (7.8/18.1),0.722 (2.4/3.4),2.5,19.7,7.2,1.7,0.7,1.2,2,4,4,4,3
24,32.5,Kellan Oakridge,IRN,"SF,PF",74,37,0.427 (9.5/22.3),0.758 (3.7/4.9),2.7,24.5,7.7,3.5,1,0.8,3.6,3,3,4,4
51,53.2,Linus Eastlake,JAD,C,78,33.4,0.616 (7/11.3),0.599 (5.2/8.7),0.4,19.4,13.9,2.4,1,2.3,3,4,4,4,3
46,34.1,Orin Hartwell,KNG,SG,76,34.8,0.474 (13/27.3),0.809 (3.8/4.7),5.4,33.1,3.6,3.7,1.4,0.6,4,4,3,3,3
39,51.9,Dorian Vexley,LYX,"SG,SF",77,32.6,0.409 (7.7/18.7),0.801 (4/5),3,21.3,4.8,4.2,1,0.6,3,4,3,4,4
43,41.6,Quincy Fairbourne,MTR,PG,77,33,0.444 (9.4/21.2),0.884 (4.9/5.6),3.9,26.3,2.8,9.8,1.2,0.2,3.7,3,3,3,4
28,31.6,Lior Everly,NOV,"PF,C",49,34.5,0.458 (9.5/20.9),0.794 (3.7/4.6),1.6,23.8,8,2.8,0.8,1.5,2.7,4,3,4,4
45,58.4,Soren Northcott,ORC,C,75,37,0.507 (8.1/16),0.596 (4.3/7.2),0.4,20.8,15.6,2.3,0.8,2.2,1.6,3,4,3,4
64,76.1,Milo Northcott,PHN,PF,74,33.5,0.509 (6.2/12.1),0.821 (3.2/3.9),1.7,16.5,8.3,2.7,0.9,1.3,1.8,4,3,3,4
63,52.5,Gage Draven,QST,C,74,30.9,0.601 (5/8.4),0.722 (4.5/6.2),0.2,14.6,10.9,2.3,0.9,0.7,2.2,4,4,3,3
59,62.8,Dorian Underhill,RVR,"SG,SF",70,33.5,0.467 (6/12.9),0.831 (3.3/4),3.5,17.6,5.4,3.8,0.9,0.5,2.5,4,3,4,3
44,42.4,Orin Wolcott,SUM,"SG,SF",77,33.9,0.468 (6.8/14.6),0.848 (2.8/3.3),4.2,19.1,4.4,4.4,1.5,0.4,2.5,3,4,4,4
50,48.3,Yuri Ravensworth,TID,"SG,SF",71,35.7,0.472 (11/23.2),0.869 (6.6/7.5),3.1,30.4,5,4.5,1,0.5,2.6,4,3,3,3
56,41,Dante Quill,UMB,PF,70,33.5,0.497 (6.7/13.4),0.786 (2.8/3.6),1.7,17.2,7.5,2.6,0.8,1.3,2,4,3,3,4
53,45.5,Soren Blackwood,VIP,C,75,32.4,0.542 (7.4/13.6),0.672 (3.2/4.8),0.1,18,12.3,1.9,0.8,1.1,2.2,3,3,4,4
48,61.4,Galen Stroud,WLD,SF,67,32.9,0.466 (7.5/16.1),0.826 (4.7/5.7),2.6,21.2,6.1,3.4,1.1,0.6,1.8,3,4,3,4
81,74.9,Florian Pembrook,XEN,SG,71,27.7,0.444 (5.1/11.5),0.777 (2.5/3.3),2.7,14.5,3.9,1.9,1.1,0.4,2,3,4,4,4
60,71.3,Orin Ravensworth,YTI,"SF,PF",72,31.6,0.473 (6.5/13.8),0.741 (2.2/3),2,16.5,6.7,2.9,1.4,0.6,1.7,4,3,3,3
49,41.5,Ulises Thorne,ZEP,"PF,C",74,30.8,0.48 (5.6/11.7),0.832 (3.2/3.8),2.3,15.8,7.5,2.5,0.6,1.2,1.8,3,3,4,4
58,57.3,Finn Wolcott,ARC,"PF,C",68,31.9,0.492 (8.1/16.5),0.775 (3.5/4.5),3.3,21.7,7.3,2.4,0.7,0.7,2.6,3,4,3,4
62,68.1,Finn Marlow,BOL,PF,58,33.2,0.474 (6.1/12.8),0.826 (3.4/4.2),1.9,16.8,8.7,2.8,0.8,1.5,2.1,4,4,3,3
67,57.8,Florian Ravensworth,CRS,"SF,PF",78,33.1,0.487 (7.2/14.8),0.775 (3.4/4.4),1.9,19,5.9,2.6,1.4,0.8,2.4,3,3,3,4
79,82,Galen Calloway,DUN,C,74,27.3,0.543 (5.6/10.3),0.66 (3.2/4.9),0.3,14.6,8.8,1.7,0.4,1.2,2.4,4,3,3,3
42,23.2,Wes Birchwell,ALB,PG,76,32.1,0.467 (8/17.2),0.854 (4.7/5.5),2.7,22.5,3.9,11.5,1.2,0.4,4.9,4,4,3,4
52,59.2,Soren Marlow,BRV,SG,45,32.6,0.452 (9.9/21.8),0.77 (3.8/4.9),3.2,25.6,4.1,4,0.9,0.5,2.3,4,3,4,4
55,52.7,Bram Pembrook,CDR,"SG,SF",73,29.4,0.38 (5.9/15.5),0.861 (2.1/2.5),3.7,16.5,4,3.8,1,0.3,2.2,4,4,3,4
92,95.9,Gage Abernet,DLT,"PG,SG",71,26.8,0.53 (4.1/7.7),0.818 (3.2/3.9),2.3,12.7,3,7.5,1.1,0.3,2.6,3,4,3,3
61,70.5,Finn Pembrook,EMB,C,48,30.3,0.605 (5.8/9.6),0.69 (2.4/3.4),0.3,14.1,11.1,2.9,0.4,1.5,2.5,4,4,3,4
71,74.3,Soren Wolcott,FRG,"PF,C",45,27.1,0.441 (4/9.1),0.84 (2/2.4),1.6,11.1,6,1.8,0.4,0.9,1,4,4,4,3
94,111.1,Yuri Eastlake,GLN,"SF,PF",74,27.4,0.48 (6.3/13),0.745 (1.8/2.4),1.1,14.9,5.6,2.3,1.1,0.4,1.4,3,4,4,3
38,43.8,Tate Marlow,HVN,"SG,SF",71,35.1,0.446 (9.5/21.4),0.813 (5.6/6.9),3.4,26.9,5.2,4.2,1,0.5,2.7,4,4,4,3
70,69.5,Dante Ashgrove,IRN,SG,54,29.8,0.439 (6.4/14.7),0.805 (3.2/4),3.7,18.5,4.6,3.2,1.2,0.3,2.3,3,3,4,4
54,42.6,Quincy Zeller,JAD,"PF,C",75,31.3,0.477 (5.2/10.9),0.756 (3.5/4.6),2,15.1,7.3,1.9,0.6,0.9,1.7,4,4,4,3
85,89.6,Linus Blackwood,KNG,PF,72,28.4,0.467 (4.4/9.4),0.908 (2.2/2.5),1,11.7,7.1,1.8,0.4,0.5,1.4,4,3,3,3
75,61.5,Marek Stroud,LYX,"PF,C",78,29.8,0.481 (6/12.6),0.808 (3.6/4.4),2.4,17.1,6.6,1.7,0.6,1,1.8,4,3,4,4
86,86.4,Idris Underhill,MTR,"SF,PF",72,29.3,0.479 (5.6/11.6),0.806 (2.5/3.1),2.1,14.9,6.6,2.9,1.1,0.7,1.9,3,3,3,4
57,61.1,Dorian Eastlake,NOV,PG,51,34.2,0.411 (8.1/19.8),0.799 (3.6/4.4),3.6,22.2,4.3,10.9,1.1,0.3,4.9,4,3,4,4
74,96.1,Rowan Calloway,ORC,"SF,PF",74,29.9,0.403 (6.1/15.1),0.791 (2.7/3.4),2.3,16.4,5.3,2.9,0.8,0.9,1.7,3,4,3,4
108,87.6,Ivo Yarrow,PHN,PG,71,26.6,0.456 (5.4/11.8),0.917 (1.9/2.1),2.2,14.1,3.2,6.6,1.1,0.4,2.2,4,3,3,4
69,74.9,Quincy Marlow,QST,C,75,26.5,0.598 (6/10.1),0.649 (3.1/4.7),0.3,15.3,10.1,1.9,0.7,1.1,1.9,4,4,3,3
68,63.2,Wes Calloway,RVR,"SF,PF",73,31.5,0.456 (6.8/14.9),0.748 (3.3/4.4),2.3,18.4,6.1,2.8,1.2,0.6,1.7,4,3,4,3
73,77,Xander Blackwood,SUM,SF,74,29.4,0.427 (8.3/19.4),0.632 (2.3/3.6),1.5,19.8,6.2,3,1.1,0.7,2.1,3,4,4,4
95,90,Cam Garrow,TID,C,73,26.9,0.621 (5.6/9),0.632 (2.9/4.6),0.3,14.2,9.5,2.1,0.6,0.6,1.7,4,3,3,3
84,84.2,Hugo Lockhart,UMB,"SG,SF",71,29,0.427 (6.3/14.9),0.877 (2.1/2.4),2.6,16.5,4,2.7,1,0.4,1.7,4,3,3,4
88,89.8,Florian Yarrow,VIP,"PG,SG",76,27.2,0.453 (4.8/10.6),0.92 (4.9/5.3),2.1,15.8,2.9,7.5,0.9,0.2,2.8,3,3,4,4
87,82,Linus Fairbourne,WLD,SG,72,27.7,0.491 (6.6/13.3),0.815 (3.7/4.6),2.5,18.4,4,3.5,0.9,0.4,1.9,3,4,3,4
78,76.4,Niall Abernet,XEN,PG,48,33.2,0.483 (7/14.6),0.82 (2.9/3.5),2.1,18.3,3.3,6.7,1.3,0.2,4.8,3,4,4,4
66,67.1,Kade Draven,YTI,C,77,31.9,0.623 (6.4/10.4),0.611 (4.1/6.7),0.4,17.2,11.5,1.5,0.7,2,2.1,4,3,3,3
112,103.5,Finn Oakridge,ZEP,PF,47,28.2,0.439 (4.2/9.6),0.791 (2.4/3),2.2,12.2,6.8,2.2,0.7,0.9,1.2,3,3,4,4
65,58.9,Quincy Corvell,ARC,C,74,30.9,0.579 (4.8/8.3),0.558 (1.6/2.9),0.2,11.4,12.2,1.9,0.5,1.6,2.1,3,4,3,4
124,109.5,Soren Fairbourne,BOL,SF,73,26.4,0.472 (4.9/10.5),0.823 (2.3/2.8),1.3,13,5,2.8,0.8,0.8,1.2,4,4,3,3
72,72.9,Galen Abernet,CRS,SF,75,30.4,0.485 (7.1/14.6),0.735 (2.9/4),2.1,18.3,5.6,2.4,1.1,0.7,1.5,3,3,3,4
76,72.9,Kade Wolcott,DUN,PG,70,29.3,0.454 (6.7/14.8),0.847 (2.4/2.8),2,17.1,2.9,9.4,1,0.4,2.7,4,3,3,3
83,83.8,Gage Fairbourne,ALB,SF,67,28.7,0.467 (5.5/11.9),0.692 (2.2/3.2),1.2,14.1,5.8,2.4,0.5,0.4,1.2,4,4,3,4
132,120.7,Emeka Jessop,BRV,"PG,SG",78,27.4,0.486 (3.3/6.8),0.931 (1.9/2),2,9.7,3.2,6.3,1,0.2,2.4,4,3,4,4
165,168.1,Rowan Eastlake,CDR,PG,71,23.2,0.42 (4.1/9.7),0.811 (1.5/1.9),1.9,11,2.1,5.1,0.8,0.2,1.6,4,4,3,4
90,88.3,Pax Underhill,DLT,"PF,C",75,25.8,0.487 (5.9/12),0.781 (3.7/4.7),1.7,16.5,5.3,1.6,0.6,1,1.4,3,4,3,3
96,98.3,Emeka Corvell,EMB,SG,80,29.5,0.468 (5.5/11.9),0.853 (1.9/2.3),2.7,14.7,4.3,3.3,1.2,0.4,1.7,4,4,3,4
98,104.6,Idris Fairbourne,FRG,"PG,SG",74,30.7,0.423 (6.5/15.5),0.795 (3.2/4.1),1.3,17.2,3.8,6.6,1.2,0.2,3.1,4,4,4,3
102,111.6,Gage Northcott,GLN,"SG,SF",56,26.8,0.467 (4.9/10.6),0.832 (2.7/3.2),2.6,14.2,3.9,2.7,1,0.4,1.4,3,4,4,3
89,72.4,Wes Ingram,HVN,C,70,25.5,0.571 (3.6/6.3),0.627 (1.7/2.7),0.3,9,9.9,2,0.6,1.3,1.3,4,4,4,3
82,84.9,Eli Birchwell,IRN,PG,74,26.8,0.451 (5/11),0.857 (4/4.7),2.6,15.6,2.9,7.7,1,0.2,2.5,3,3,4,4
91,95.9,Quincy Eastlake,JAD,"PG,SG",72,29.3,0.443 (5.2/11.8),0.778 (2.1/2.6),2.3,14,3.7,7.3,1.1,0.2,3.2,4,4,4,3
176,182,Nico Dunmore,KNG,"PF,C",77,20.1,0.522 (3.3/6.3),0.853 (0.9/1),0.5,7.8,3.9,1.2,0.5,0.8,0.9,4,3,3,3
77,75.2,Emeka Kestrel,LYX,"PF,C",72,30.5,0.528 (6.1/11.5),0.68 (1.3/1.9),1.7,14.4,6.3,2.4,0.8,1.1,1.5,4,3,4,4
116,120.9,Bram Hartwell,MTR,C,76,24,0.582 (3.3/5.6),0.713 (1.8/2.6),0.3,8.5,8,1.3,0.5,1.1,1.2,3,3,3,4
128,132.4,Galen Quill,NOV,SF,76,23.5,0.442 (4.4/10),0.734 (1.8/2.4),1.4,11.5,4.9,2,0.9,0.3,1.3,4,3,4,4
110,105.2,Idris Pembrook,ORC,SG,79,28.2,0.416 (4.6/11),0.867 (3.7/4.3),3.2,15,3.7,3.2,1.2,0.5,2,3,4,3,4
119,121.1,Linus Everly,PHN,SG,71,25.7,0.486 (3/6.1),0.795 (1.3/1.7),1.7,8.3,3.4,3.3,0.7,0.3,1.2,4,3,3,4
129,138.2,Zane Jessop,QST,PG,80,23.7,0.406 (4.5/11.1),0.884 (1.1/1.3),1.5,11.2,2.9,4.7,0.8,0.2,1.8,4,4,3,3
80,86.6,Dorian Fairbourne,RVR,SG,80,27.2,0.436 (4.4/10.2),0.845 (2.3/2.7),3.6,13.6,3.4,2.6,1.1,0.4,1.7,4,3,4,3
101,99.5,Florian Stroud,SUM,"SG,SF",74,25.8,0.49 (3.6/7.4),0.787 (1.7/2.1),2.3,10.4,3.9,2.7,0.6,0.4,1.4,3,4,4,4
105,102.4,Ansel Pembrook,TID,PF,70,24.4,0.467 (4/8.7),0.802 (2.5/3.1),1.3,11.4,5,1.5,0.7,0.9,1.4,4,3,3,3
93,83,Eli Thorne,UMB,PF,57,28.6,0.495 (5.7/11.6),0.806 (2.7/3.3),2,15.4,7,2,0.5,1,1.6,4,3,3,4
97,111.1,Ivo Vexley,VIP,"PF,C",49,26.3,0.471 (3.8/8.2),0.731 (1.4/1.9),1.5,10,6.1,2.4,0.6,0.9,1.2,3,3,4,4
158,155.5,Kellan Calloway,WLD,"SG,SF",75,22.8,0.475 (4.8/10.1),0.761 (1.7/2.2),1.8,12.4,3.9,2.6,0.5,0.3,1.2,3,4,3,4
103,107,Orin Abernet,XEN,"PG,SG",62,27.1,0.442 (4.5/10.1),0.819 (1.7/2),1.1,11.3,3.7,7,1,0.3,2.2,3,4,4,4
115,104.9,Hollis Northcott,YTI,"PF,C",78,29.9,0.505 (5.6/11),0.725 (1.9/2.6),1.7,14.1,6.4,1.9,0.8,0.2,1.4,4,3,3,3
149,160.3,Rowan Northcott,ZEP,"PF,C",77,21,0.482 (4.1/8.5),0.771 (1.7/2.2),0.9,10.4,4.4,1.4,0.4,0.9,1,3,3,4,4
134,122.9,Kade Stroud,ARC,PG,47,24.6,0.411 (2.7/6.5),0.906 (2/2.2),2,8.7,2.9,5.5,0.6,0.3,2,3,4,3,4
136,132.3,Orin Northcott,BOL,"SG,SF",72,27.7,0.442 (5.2/11.8),0.915 (1.6/1.7),2.6,13.7,3.7,3.6,0.9,0.5,1.6,4,4,3,3
121,112.4,Xander Stroud,CRS,"SG,SF",73,25.8,0.454 (5/11),0.75 (2.1/2.8),1.9,13.2,4.5,3.5,0.7,0.3,1.2,3,3,3,4
109,108.3,Jonah Ingram,DUN,"PF,C",74,24.9,0.521 (3.3/6.4),0.79 (1.6/2),1.8,9.3,6.1,2,0.5,1.1,1.5,4,3,3,3
104,111.7,Blake Blackwood,ALB,"SG,SF",62,24.5,0.427 (5.4/12.6),0.808 (2.6/3.2),2.5,15,4.1,2.9,0.9,0.5,1.6,4,4,3,4
144,157.1,Hugo Zeller,BRV,SF,53,25.2,0.532 (4.6/8.7),0.729 (2.6/3.6),1.8,12.9,4.8,2.9,0.9,0.3,1.6,4,3,4,4
246,,Orin Jessop,CDR,SF,73,22.5,0.472 (3.2/6.8),0.802 (1.9/2.3),1.1,9,4.7,2.1,0.7,0.3,1,4,4,3,4
126,133.4,Zane Wolcott,DLT,"SG,SF",78,22.3,0.456 (4.1/8.9),0.876 (1.6/1.9),1.5,10.7,3.4,2.4,0.8,0.4,1.5,3,4,3,3
135,137.1,Eli Underhill,EMB,"SG,SF",75,24.3,0.434 (4.5/10.4),0.755 (2.3/3),2.5,13,3.8,3.1,0.7,0.3,1.1,4,4,3,4
147,146,Ulises Marlow,FRG,SF,71,21,0.46 (3.5/7.5),0.752 (1.5/2),1.1,9.1,4,1.6,0.9,0.4,1.1,4,4,4,3
148,164.6,Eli Ravensworth,GLN,C,75,26.5,0.601 (3.6/6),0.622 (1.8/2.9),0.3,9.2,9.5,1.9,0.6,1.5,1.2,3,4,4,3
211,,Idris Yarrow,HVN,"PG,SG",76,23.8,0.452 (3.2/7),0.878 (1.2/1.3),1.5,8.5,2.3,4.6,0.8,0.1,1.9,4,4,4,3
117,131.8,Yuri Ingram,IRN,PG,72,24,0.4 (4.7/11.8),0.83 (1.4/1.6),1.8,12.1,2.9,5.3,0.5,0.2,2,3,3,4,4
169,175.5,Eli Quill,JAD,C,70,21.6,0.502 (3.1/6.1),0.657 (1.6/2.5),0.2,7.9,7,1.7,0.4,1,1.3,4,4,4,3
123,114.7,Finn Ravensworth,KNG,PG,73,26.5,0.459 (4.9/10.7),0.853 (2.6/3),1.5,13.4,2.7,5.8,1,0.3,2.7,4,3,3,3
150,156.7,Vance Calloway,LYX,PF,77,25.7,0.463 (4.4/9.5),0.788 (2/2.5),1.6,11.8,5.9,1.7,0.7,0.7,1.2,4,3,4,4
122,118.5,Niall Corvell,MTR,"PG,SG",74,24.5,0.516 (4/7.8),0.847 (1.9/2.2),1.9,11,3.3,4.9,0.9,0.1,2.4,3,3,3,4
100,105.9,Eli Eastlake,NOV,"PG,SG",73,26,0.48 (4.5/9.3),0.864 (2.3/2.7),2.1,12.6,3.5,6.2,0.9,0.3,2.8,4,3,4,4
238,,Wes Stroud,ORC,"SG,SF",71,21,0.417 (2.8/6.7),0.856 (1.7/2),1.2,8.2,3.3,2.6,0.6,0.3,0.8,3,4,3,4
106,117.9,Bram Wolcott,PHN,SF,74,22.9,0.513 (3.5/6.8),0.838 (1.6/2),1.1,9.3,5.1,2.1,0.6,0.6,1,4,3,3,4
153,130,Hugo Calloway,QST,PF,72,23.6,0.501 (3.5/7),0.883 (1.2/1.4),0.7,8.6,4.8,1.6,0.5,0.7,1.3,4,4,3,3
198,,Orin Eastlake,RVR,"PF,C",78,21.1,0.511 (3.4/6.6),0.805 (2/2.5),1.1,9.4,5,1.6,0.5,0.7,1,4,3,4,3
111,118.8,Cam Wolcott,SUM,"PF,C",73,26.5,0.52 (4.1/7.9),0.784 (1.6/2),1.6,10.8,4.6,2.2,0.2,1,1.3,3,4,4,4
168,179,Blake Calloway,TID,"SF,PF",75,23.7,0.484 (3.8/7.9),0.768 (2.2/2.9),1.1,10.5,4.7,2.3,0.9,0.6,0.7,4,3,3,3
174,166.8,Jonah Vexley,UMB,C,49,23.7,0.548 (3.8/7),0.612 (1.8/3),0.2,9.7,8.2,1.5,0.5,1.4,1.1,4,3,3,4
206,,Kellan Corvell,VIP,PG,80,21.6,0.439 (2.5/5.7),0.896 (1.2/1.4),1.2,7,2.8,3.1,0.7,0.1,1.6,3,3,4,4
114,112.4,Yuri Oakridge,WLD,PF,68,24.2,0.486 (4.8/10),0.817 (2.7/3.3),1,13,6,1.6,0.4,1.1,1.2,3,4,3,4
152,151.4,Pax Zeller,XEN,"SF,PF",70,23.5,0.495 (4.1/8.3),0.855 (1.4/1.6),1.2,10.3,5,2.2,0.7,0.4,1.3,3,4,4,4
146,146.4,Wes Ravensworth,YTI,C,79,24.7,0.564 (4.4/7.7),0.684 (2/3),0.2,10.9,7.4,1.6,0.6,1.4,1.2,4,3,3,3
215,,Milo Pembrook,ZEP,C,72,20.4,0.543 (3.1/5.7),0.654 (1.7/2.7),0.2,8.1,6.2,1.5,0.4,1.5,1,3,3,4,4
131,136.6,Hollis Quill,ARC,SG,68,28.7,0.486 (6.7/13.8),0.759 (2.1/2.8),2.7,17.1,3.3,3.8,1,0.4,2.4,3,4,3,4
218,,Idris Birchwell,BOL,PF,74,23.7,0.42 (2.9/6.9),0.792 (1.4/1.8),1,7.9,5.2,1.6,0.6,0.8,0.9,4,4,3,3
207,,Ivo Everly,CRS,"SF,PF",80,19.2,0.474 (3/6.4),0.669 (1.4/2.1),0.6,7.8,4.4,1.5,0.5,0.5,0.7,3,3,3,4
125,119.5,Hugo Kestrel,DUN,PG,75,26.9,0.467 (4.9/10.5),0.937 (2.1/2.2),2.8,13.6,3.8,6.7,1.1,0.3,2.5,4,3,3,3
161,154.9,Avery Ashgrove,ALB,SG,51,26.2,0.419 (5.6/13.3),0.72 (2.9/4.1),2.3,15.6,3.6,3.5,1,0.3,1.6,4,4,3,4
184,177.4,Nico Ashgrove,BRV,PG,72,24.6,0.38 (3.6/9.6),0.816 (2/2.5),2.1,10.8,2.4,5.8,1,0.1,2,4,3,4,4
235,,Kade Abernet,CDR,C,71,23,0.603 (3.6/6),0.715 (1.7/2.4),0.2,9.1,7.6,1.6,0.5,1.4,1,4,4,3,4
155,135.7,Bram Birchwell,DLT,"PG,SG",70,23.4,0.454 (3.9/8.5),0.878 (2.8/3.2),1.4,11.5,2.4,5.3,0.6,0.2,2.2,3,4,3,3
99,103.5,Milo Fairbourne,EMB,SF,72,33,0.423 (6.6/15.6),0.784 (3/3.8),1.5,17.2,7.6,3.3,1.2,0.6,1.6,4,4,3,4
141,144.6,Kade Ashgrove,FRG,PG,56,22.9,0.47 (3/6.4),0.842 (1.6/1.9),2,8.9,2.9,4.9,1.4,0.2,1.7,4,4,4,3
130,134.7,Jalen Zeller,GLN,PF,52,25.6,0.509 (4/7.8),0.733 (1.5/2.1),1.4,10.2,5.3,1.5,0.6,0.7,1.4,3,4,4,3
