Player,Team,Pos,Yahoo ID,XRank,Rank,Last 7 Days ADP,Status,Source,Captured At,Confidence,Review Fields
Florian Ingram,QST,C,ySMP0017,16,9,9.8,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Hollis Underhill,RVR,"PG,SG",ySMP0018,11,14,14.5,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Hugo Corvell,SUM,PG,ySMP0019,13,20,24.6,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Marek Oakridge,TID,C,ySMP0020,23,11,17.4,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Rowan Garrow,UMB,"PF,C",ySMP0021,19,45,32.4,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Niall Northcott,VIP,"PF,C",ySMP0022,40,39,35.5,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Quincy Calloway,WLD,PG,ySMP0023,4,21,4.3,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Kellan Lockhart,XEN,PG,ySMP0024,36,34,37.7,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Ulises Birchwell,YTI,"PF,C",ySMP0025,33,42,33.3,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Hugo Ravensworth,ZEP,C,ySMP0026,25,17,23.8,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Milo Ashgrove,ARC,C,ySMP0027,20,29,32.9,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Cyrus Ingram,BOL,"SG,SF",ySMP0028,54,55,38.6,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Zane Blackwood,CRS,"SG,SF",ySMP0029,43,28,42.3,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Ulises Pembrook,DUN,PF,ySMP0030,10,6,14.6,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Dorian Garrow,ALB,SG,ySMP0031,42,30,38.6,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Finn Abernet,BRV,"SF,PF",ySMP0032,26,36,19.2,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Marek Birchwell,CDR,PG,ySMP0033,46,53,52.6,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Hugo Yarrow,DLT,SG,ySMP0034,44,46,45.2,GTD,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Hollis Fairbourne,EMB,SG,ySMP0035,24,37,18.3,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Emeka Blackwood,FRG,C,ySMP0036,41,5,35.1,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Soren Yarrow,GLN,"SF,PF",ySMP0037,30,24,22.6,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Yuri Calloway,HVN,PF,ySMP0038,37,44,45.9,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Kellan Oakridge,IRN,"SF,PF",ySMP0039,22,26,29.5,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Linus Eastlake,JAD,C,ySMP0040,35,43,49.2,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Orin Hartwell,KNG,SG,ySMP0041,27,33,35.4,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Dorian Vexley,LYX,"SG,SF",ySMP0042,32,49,53.9,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Quincy Fairbourne,MTR,PG,ySMP0043,51,27,40.3,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Lior Everly,NOV,"PF,C",ySMP0044,38,25,28.6,GTD,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Soren Northcott,ORC,C,ySMP0045,50,40,54.3,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Milo Northcott,PHN,PF,ySMP0046,52,38,68.1,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Gage Draven,QST,C,ySMP0047,56,48,55.6,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Dorian Underhill,RVR,"SG,SF",ySMP0048,60,74,66.2,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Orin Wolcott,SUM,"SG,SF",ySMP0049,59,41,46,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Yuri Ravensworth,TID,"SG,SF",ySMP0050,39,51,52.2,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Dante Quill,UMB,PF,ySMP0051,57,60,47,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Soren Blackwood,VIP,C,ySMP0052,58,50,49.6,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Galen Stroud,WLD,SF,ySMP0053,49,47,64.9,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Florian Pembrook,XEN,SG,ySMP0054,72,63,82.6,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Orin Ravensworth,YTI,"SF,PF",ySMP0055,53,59,72.6,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Ulises Thorne,ZEP,"PF,C",ySMP0056,34,62,42,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Finn Wolcott,ARC,"PF,C",ySMP0057,48,52,57,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Finn Marlow,BOL,PF,ySMP0058,47,57,67.6,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Florian Ravensworth,CRS,"SF,PF",ySMP0059,63,72,57.2,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Galen Calloway,DUN,C,ySMP0060,84,78,78.1,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Wes Birchwell,ALB,PG,ySMP0061,45,32,27.1,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Soren Marlow,BRV,SG,ySMP0062,62,56,59.5,INJ,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Bram Pembrook,CDR,"SG,SF",ySMP0063,75,71,56.4,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Gage Abernet,DLT,"PG,SG",ySMP0064,85,93,94,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Finn Pembrook,EMB,C,ySMP0065,79,69,75.2,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Soren Wolcott,FRG,"PF,C",ySMP0066,76,66,78.3,INJ,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Yuri Eastlake,GLN,"SF,PF",ySMP0067,114,102,113.4,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Tate Marlow,HVN,"SG,SF",ySMP0068,31,16,43.4,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Dante Ashgrove,IRN,SG,ySMP0069,80,77,66.7,GTD,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Quincy Zeller,JAD,"PF,C",ySMP0070,70,65,49.4,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Linus Blackwood,KNG,PF,ySMP0071,96,92,91.4,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Marek Stroud,LYX,"PF,C",ySMP0072,64,81,61.4,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Idris Underhill,MTR,"SF,PF",ySMP0073,71,75,87.1,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Dorian Eastlake,NOV,PG,ySMP0074,67,80,61.9,GTD,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Rowan Calloway,ORC,"SF,PF",ySMP0075,86,88,94.9,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Ivo Yarrow,PHN,PG,ySMP0076,110,105,93.3,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Quincy Marlow,QST,C,ySMP0077,61,73,70.2,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Wes Calloway,RVR,"SF,PF",ySMP0078,65,67,65.2,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Xander Blackwood,SUM,SF,ySMP0079,66,70,74.2,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Cam Garrow,TID,C,ySMP0080,91,61,91.9,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Hugo Lockhart,UMB,"SG,SF",ySMP0081,69,76,82.3,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Florian Yarrow,VIP,"PG,SG",ySMP0082,81,103,86.5,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Linus Fairbourne,WLD,SG,ySMP0083,93,84,79.4,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Niall Abernet,XEN,PG,ySMP0084,68,87,86.2,INJ,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Kade Draven,YTI,C,ySMP0085,55,91,67,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Finn Oakridge,ZEP,PF,ySMP0086,109,117,101.1,INJ,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Quincy Corvell,ARC,C,ySMP0087,74,64,59.9,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Soren Fairbourne,BOL,SF,ySMP0088,118,131,110.1,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Galen Abernet,CRS,SF,ySMP0089,78,83,69.9,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Kade Wolcott,DUN,PG,ySMP0090,73,54,75.1,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Gage Fairbourne,ALB,SF,ySMP0091,77,58,83.4,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Emeka Jessop,BRV,"PG,SG",ySMP0092,105,126,120.6,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Rowan Eastlake,CDR,PG,ySMP0093,159,184,167.1,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Pax Underhill,DLT,"PF,C",ySMP0094,88,100,85.9,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Emeka Corvell,EMB,SG,ySMP0095,107,97,97.4,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Idris Fairbourne,FRG,"PG,SG",ySMP0096,99,114,104.9,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Gage Northcott,GLN,"SG,SF",ySMP0097,101,116,111.5,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Wes Ingram,HVN,C,ySMP0098,87,85,80.1,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Eli Birchwell,IRN,PG,ySMP0099,82,79,89.2,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Quincy Eastlake,JAD,"PG,SG",ySMP0100,95,99,99,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Nico Dunmore,KNG,"PF,C",ySMP0101,188,152,180.5,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Emeka Kestrel,LYX,"PF,C",ySMP0102,83,68,72.9,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Bram Hartwell,MTR,C,ySMP0103,143,132,125.1,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Galen Quill,NOV,SF,ySMP0104,124,112,123.1,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Idris Pembrook,ORC,SG,ySMP0105,113,106,97,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Linus Everly,PHN,SG,ySMP0106,106,134,118.3,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Zane Jessop,QST,PG,ySMP0107,128,115,140.6,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Dorian Fairbourne,RVR,SG,ySMP0108,103,89,82.1,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Florian Stroud,SUM,"SG,SF",ySMP0109,90,86,96.7,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Ansel Pembrook,TID,PF,ySMP0110,115,96,106.2,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Eli Thorne,UMB,PF,ySMP0111,92,82,90.5,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Ivo Vexley,VIP,"PF,C",ySMP0112,104,101,110.8,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Kellan Calloway,WLD,"SG,SF",ySMP0113,155,180,154.8,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Orin Abernet,XEN,"PG,SG",ySMP0114,94,90,100.9,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Hollis Northcott,YTI,"PF,C",ySMP0115,119,147,109.3,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Rowan Northcott,ZEP,"PF,C",ySMP0116,158,148,158.9,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Kade Stroud,ARC,PG,ySMP0117,129,123,129,GTD,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Orin Northcott,BOL,"SG,SF",ySMP0118,131,142,137.4,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Xander Stroud,CRS,"SG,SF",ySMP0119,126,120,115.7,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Jonah Ingram,DUN,"PF,C",ySMP0120,102,95,103.4,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Blake Blackwood,ALB,"SG,SF",ySMP0121,116,107,114.5,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Hugo Zeller,BRV,SF,ySMP0122,153,161,153.8,GTD,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Orin Jessop,CDR,SF,ySMP0123,232,248,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Zane Wolcott,DLT,"SG,SF",ySMP0124,139,127,133,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Eli Underhill,EMB,"SG,SF",ySMP0125,135,139,142.1,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Ulises Marlow,FRG,SF,ySMP0126,138,150,146.2,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Eli Ravensworth,GLN,C,ySMP0127,162,157,161.2,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Idris Yarrow,HVN,"PG,SG",ySMP0128,216,207,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Yuri Ingram,IRN,PG,ySMP0129,108,129,134.3,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Eli Quill,JAD,C,ySMP0130,182,174,173.7,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Finn Ravensworth,KNG,PG,ySMP0131,117,110,114.1,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Vance Calloway,LYX,PF,ySMP0132,146,151,159.6,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Niall Corvell,MTR,"PG,SG",ySMP0133,112,113,118.2,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Eli Eastlake,NOV,"PG,SG",ySMP0134,98,104,108,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Wes Stroud,ORC,"SG,SF",ySMP0135,253,242,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Bram Wolcott,PHN,SF,ySMP0136,134,124,118.2,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Hugo Calloway,QST,PF,ySMP0137,149,144,129.8,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Orin Eastlake,RVR,"PF,C",ySMP0138,205,200,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Cam Wolcott,SUM,"PF,C",ySMP0139,125,125,123,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Blake Calloway,TID,"SF,PF",ySMP0140,179,165,178.6,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Jonah Vexley,UMB,C,ySMP0141,178,170,171.7,INJ,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Kellan Corvell,VIP,PG,ySMP0142,196,216,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Yuri Oakridge,WLD,PF,ySMP0143,100,94,106.6,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Pax Zeller,XEN,"SF,PF",ySMP0144,152,160,152.6,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Wes Ravensworth,YTI,C,ySMP0145,151,130,146.6,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Milo Pembrook,ZEP,C,ySMP0146,228,218,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Hollis Quill,ARC,SG,ySMP0147,120,155,137.8,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Idris Birchwell,BOL,PF,ySMP0148,204,245,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Ivo Everly,CRS,"SF,PF",ySMP0149,210,233,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Hugo Kestrel,DUN,PG,ySMP0150,111,98,120.9,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Avery Ashgrove,ALB,SG,ySMP0151,157,159,163.2,GTD,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Nico Ashgrove,BRV,PG,ySMP0152,185,203,178.3,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Kade Abernet,CDR,C,ySMP0153,225,225,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Bram Birchwell,DLT,"PG,SG",ySMP0154,142,119,139.4,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Milo Fairbourne,EMB,SF,ySMP0155,89,109,101.5,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Kade Ashgrove,FRG,PG,ySMP0156,148,128,142.8,INJ,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Jalen Zeller,GLN,PF,ySMP0157,144,136,134.5,GTD,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Ivo Calloway,HVN,PG,ySMP0158,166,166,166.8,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Hollis Garrow,IRN,SF,ySMP0159,211,214,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Marek Quill,JAD,SG,ySMP0160,180,191,180.2,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Jalen Northcott,KNG,"SF,PF",ySMP0161,184,182,185.3,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Zane Ingram,LYX,C,ySMP0162,242,213,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Finn Calloway,MTR,SF,ySMP0163,123,143,135.3,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Tate Yarrow,NOV,SG,ySMP0164,263,263,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Linus Underhill,ORC,"SF,PF",ySMP0165,136,149,147.4,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Gage Birchwell,PHN,C,ySMP0166,186,199,,INJ,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Bram Lockhart,QST,"SG,SF",ySMP0167,156,176,153,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Finn Stroud,RVR,"SG,SF",ySMP0168,164,181,169.5,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Lior Vexley,SUM,C,ySMP0169,170,164,175.5,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Kade Marlow,TID,"SG,SF",ySMP0170,168,162,163.9,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Kade Dunmore,UMB,"PF,C",ySMP0171,252,273,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Zane Fairbourne,VIP,SF,ySMP0172,172,186,160.4,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Cam Thorne,WLD,"SG,SF",ySMP0173,137,122,127.4,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Niall Pembrook,XEN,C,ySMP0174,97,108,107,GTD,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Cam Northcott,YTI,"SF,PF",ySMP0175,190,192,,INJ,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Lior Jessop,ZEP,PF,ySMP0176,160,153,171.2,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Hugo Quill,ARC,SG,ySMP0177,250,230,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Niall Jessop,BOL,PG,ySMP0178,175,172,183.6,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Eli Zeller,CRS,"PG,SG",ySMP0179,169,163,169,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Ivo Pembrook,DUN,C,ySMP0180,254,261,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Lior Underhill,ALB,C,ySMP0181,161,158,157.4,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Ivo Ashgrove,BRV,"SF,PF",ySMP0182,122,111,126.5,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Lior Draven,CDR,"SG,SF",ySMP0183,191,189,172.7,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Emeka Stroud,DLT,PG,ySMP0184,251,226,,GTD,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Wes Garrow,EMB,SG,ySMP0185,163,190,182.1,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Rowan Marlow,FRG,SG,ySMP0186,240,243,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Florian Calloway,GLN,SF,ySMP0187,127,135,130.1,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Linus Calloway,HVN,"SG,SF",ySMP0188,194,204,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Vance Everly,IRN,SF,ySMP0189,236,250,,INJ,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Dorian Northcott,JAD,"SF,PF",ySMP0190,257,267,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Ansel Stroud,KNG,C,ySMP0191,244,229,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Linus Lockhart,LYX,PF,ySMP0192,233,239,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Bram Marlow,MTR,"SG,SF",ySMP0193,181,173,187.6,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Bram Dunmore,NOV,PG,ySMP0194,220,232,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Emeka Garrow,ORC,SF,ySMP0195,192,193,191.1,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Vance Ingram,PHN,PG,ySMP0196,238,220,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Idris Thorne,QST,PG,ySMP0197,121,121,127.1,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Zane Stroud,RVR,"SG,SF",ySMP0198,226,249,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Nico Oakridge,SUM,C,ySMP0199,215,221,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Rowan Hartwell,TID,C,ySMP0200,187,183,188.4,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Pax Wolcott,UMB,C,ySMP0201,218,211,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Yuri Fairbourne,VIP,C,ySMP0202,140,145,143.4,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Dante Zeller,WLD,"PG,SG",ySMP0203,278,280,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Eli Corvell,XEN,PG,ySMP0204,201,185,191.1,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Wes Kestrel,YTI,PG,ySMP0205,212,198,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Jalen Yarrow,ZEP,C,ySMP0206,183,168,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Yuri Lockhart,ARC,"PF,C",ySMP0207,222,231,,INJ,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Cyrus Lockhart,BOL,SG,ySMP0208,171,171,185.4,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Linus Oakridge,CRS,SF,ySMP0209,217,205,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Nico Eastlake,DUN,PF,ySMP0210,276,293,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Blake Hartwell,ALB,PF,ySMP0211,167,141,156.9,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Jalen Ravensworth,BRV,C,ySMP0212,282,277,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Jalen Pembrook,CDR,SF,ySMP0213,300,286,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Marek Marlow,DLT,SG,ySMP0214,267,279,,GTD,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Niall Draven,EMB,SF,ySMP0215,288,297,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
