Player,Team,Age,Status,Risk Delta,Manual Upside,Role Tags,Prev MPG,Note
Orin Wolcott,SUM,26,HEALTHY,,,,,
Yuri Ravensworth,TID,25,HEALTHY,,,,,
Dante Quill,UMB,25,HEALTHY,,,,,
Soren Blackwood,VIP,29,HEALTHY,,,,,
Galen Stroud,WLD,25,HEALTHY,,,,,
Florian Pembrook,XEN,32,HEALTHY,,,STARTER_OPPORTUNITY,,
Orin Ravensworth,YTI,29,HEALTHY,,,,24.6,
Ulises Thorne,ZEP,34,HEALTHY,,,,,
Finn Wolcott,ARC,26,HEALTHY,,,,,
Finn Marlow,BOL,29,HEALTHY,,,,,
Florian Ravensworth,CRS,22,HEALTHY,,,,,
Galen Calloway,DUN,23,HEALTHY,,,,,
Wes Birchwell,ALB,28,HEALTHY,,,,,
Soren Marlow,BRV,28,OUT_SHORT,,,,,
Bram Pembrook,CDR,31,HEALTHY,,,,,
Gage Abernet,DLT,27,HEALTHY,,,,,
Finn Pembrook,EMB,24,HEALTHY,,,,,
Soren Wolcott,FRG,26,OUT_SHORT,,,,,
Yuri Eastlake,GLN,28,HEALTHY,,,,,
Tate Marlow,HVN,25,HEALTHY,,,INJURY_AWAY_ROLE,,
Dante Ashgrove,IRN,23,DTD,,,,,
Quincy Zeller,JAD,27,HEALTHY,,,,,
Linus Blackwood,KNG,28,HEALTHY,,,,,
Marek Stroud,LYX,27,HEALTHY,,,,22.8,
Idris Underhill,MTR,30,HEALTHY,,,,,
Dorian Eastlake,NOV,29,DTD,,,,,
Rowan Calloway,ORC,33,HEALTHY,,,,,
Ivo Yarrow,PHN,23,HEALTHY,,,,,
Quincy Marlow,QST,31,HEALTHY,,,STARTER_OPPORTUNITY,,
Wes Calloway,RVR,25,HEALTHY,,,,,
Xander Blackwood,SUM,23,HEALTHY,,,,,
Cam Garrow,TID,19,HEALTHY,,,,,
Hugo Lockhart,UMB,26,HEALTHY,,,,,
Florian Yarrow,VIP,26,HEALTHY,,,,,
Linus Fairbourne,WLD,27,HEALTHY,,,,,
Niall Abernet,XEN,21,OUT_SHORT,,,,,
Kade Draven,YTI,29,HEALTHY,,,,,
Finn Oakridge,ZEP,26,OUT_SHORT,,,,,
Quincy Corvell,ARC,25,HEALTHY,,,,,
Soren Fairbourne,BOL,30,HEALTHY,,,,,
Galen Abernet,CRS,28,HEALTHY,,,,23.4,
Kade Wolcott,DUN,29,HEALTHY,,,,,
Gage Fairbourne,ALB,20,HEALTHY,,,,,
Emeka Jessop,BRV,26,HEALTHY,,,,,
Rowan Eastlake,CDR,22,HEALTHY,,,,,
Pax Underhill,DLT,23,HEALTHY,,,,,
Emeka Corvell,EMB,28,HEALTHY,,,,,
Idris Fairbourne,FRG,22,HEALTHY,,,,,
Gage Northcott,GLN,20,HEALTHY,,,,,
Wes Ingram,HVN,20,HEALTHY,,,,,
Eli Birchwell,IRN,23,HEALTHY,,,INJURY_AWAY_ROLE,,
Quincy Eastlake,JAD,24,HEALTHY,,,STARTER_OPPORTUNITY,,
Nico Dunmore,KNG,23,HEALTHY,,,,,
Emeka Kestrel,LYX,29,HEALTHY,,,,,
Bram Hartwell,MTR,28,HEALTHY,,,,,
Galen Quill,NOV,31,HEALTHY,,,,,
Idris Pembrook,ORC,25,HEALTHY,,,,,
Linus Everly,PHN,23,HEALTHY,,,,18.7,
Zane Jessop,QST,34,HEALTHY,,,,,
Dorian Fairbourne,RVR,30,HEALTHY,,,,,
Florian Stroud,SUM,25,HEALTHY,,,,,
Ansel Pembrook,TID,26,HEALTHY,,,,,
Eli Thorne,UMB,22,HEALTHY,,,,,
Ivo Vexley,VIP,24,HEALTHY,,,,,
Kellan Calloway,WLD,35,HEALTHY,,,,,
Orin Abernet,XEN,27,HEALTHY,,,,,
Hollis Northcott,YTI,19,HEALTHY,,,,,
Rowan Northcott,ZEP,23,HEALTHY,,,,,
Kade Stroud,ARC,26,DTD,,,,,
Orin Northcott,BOL,24,HEALTHY,,,,,
Xander Stroud,CRS,32,HEALTHY,,,,,
Jonah Ingram,DUN,23,HEALTHY,,,,,
Blake Blackwood,ALB,27,HEALTHY,,,,,
Hugo Zeller,BRV,31,DTD,,,,,
Orin Jessop,CDR,23,HEALTHY,,,STARTER_OPPORTUNITY,15.5,
Zane Wolcott,DLT,22,HEALTHY,,,,,
Eli Underhill,EMB,30,HEALTHY,,,,,
Ulises Marlow,FRG,22,HEALTHY,,,,,
Eli Ravensworth,GLN,24,HEALTHY,,,,,
Idris Yarrow,HVN,27,HEALTHY,,,,,
Yuri Ingram,IRN,28,HEALTHY,,,,,
Eli Quill,JAD,26,HEALTHY,,,INJURY_AWAY_ROLE,,
Finn Ravensworth,KNG,30,HEALTHY,,,,,
Vance Calloway,LYX,26,HEALTHY,,,,,
Niall Corvell,MTR,26,HEALTHY,,,,,
Eli Eastlake,NOV,26,HEALTHY,,,,,
Wes Stroud,ORC,29,HEALTHY,,,,,
Bram Wolcott,PHN,25,HEALTHY,,,,,
Hugo Calloway,QST,28,HEALTHY,,,,,
Orin Eastlake,RVR,23,HEALTHY,,,,,
Cam Wolcott,SUM,28,HEALTHY,,,,,
Blake Calloway,TID,28,HEALTHY,,,,16.7,
Jonah Vexley,UMB,30,OUT_SHORT,,,,,
Kellan Corvell,VIP,22,HEALTHY,,,,,
Yuri Oakridge,WLD,29,HEALTHY,,,,,
Pax Zeller,XEN,24,HEALTHY,,,,,
Wes Ravensworth,YTI,28,HEALTHY,,,,,
Milo Pembrook,ZEP,37,HEALTHY,,,STARTER_OPPORTUNITY,,
Hollis Quill,ARC,32,HEALTHY,,,,,
Idris Birchwell,BOL,22,HEALTHY,,,,,
Ivo Everly,CRS,21,HEALTHY,,,,,
Hugo Kestrel,DUN,25,HEALTHY,,,,,
Avery Ashgrove,ALB,20,DTD,,,,,
Nico Ashgrove,BRV,20,HEALTHY,,,,,
Kade Abernet,CDR,24,HEALTHY,,,,,
Bram Birchwell,DLT,29,HEALTHY,,,,,
Milo Fairbourne,EMB,22,HEALTHY,,,,,
Kade Ashgrove,FRG,25,OUT_SHORT,,,,,
Jalen Zeller,GLN,27,DTD,,,,18.6,
Ivo Calloway,HVN,26,HEALTHY,,,,,
Hollis Garrow,IRN,23,HEALTHY,,,,,
Marek Quill,JAD,24,HEALTHY,,,,,
Jalen Northcott,KNG,28,HEALTHY,,,INJURY_AWAY_ROLE,,
Zane Ingram,LYX,19,HEALTHY,,,,,
Finn Calloway,MTR,28,HEALTHY,,,,,
Tate Yarrow,NOV,27,HEALTHY,,,,,
Linus Underhill,ORC,24,HEALTHY,,,,,
Gage Birchwell,PHN,23,OUT_SHORT,,,,,
Bram Lockhart,QST,29,HEALTHY,,,,,
Finn Stroud,RVR,25,HEALTHY,,,,,
Lior Vexley,SUM,19,HEALTHY,,,STARTER_OPPORTUNITY,,
Kade Marlow,TID,24,HEALTHY,,,,,
Kade Dunmore,UMB,25,HEALTHY,,,,,
Zane Fairbourne,VIP,23,HEALTHY,,,,,
Cam Thorne,WLD,29,HEALTHY,,,,,
Niall Pembrook,XEN,26,DTD,,,,23,
Cam Northcott,YTI,22,OUT_SHORT,,,,,
Lior Jessop,ZEP,19,HEALTHY,,,,,
Hugo Quill,ARC,31,HEALTHY,,,,,
Niall Jessop,BOL,26,HEALTHY,,,,,
Eli Zeller,CRS,27,HEALTHY,,,,,
Ivo Pembrook,DUN,35,HEALTHY,,,,,
Lior Underhill,ALB,26,HEALTHY,,,,,
Ivo Ashgrove,BRV,29,HEALTHY,,,,,
Lior Draven,CDR,29,HEALTHY,,,,,
Emeka Stroud,DLT,21,DTD,,,,,
Wes Garrow,EMB,33,HEALTHY,,,,,
Rowan Marlow,FRG,30,HEALTHY,,,,,
Florian Calloway,GLN,19,HEALTHY,,,,,
Linus Calloway,HVN,26,HEALTHY,,,,,
Vance Everly,IRN,21,OUT_SHORT,,,,,
Dorian Northcott,JAD,21,HEALTHY,,,,,
Ansel Stroud,KNG,23,HEALTHY,,,,19.2,
Linus Lockhart,LYX,26,HEALTHY,,,STARTER_OPPORTUNITY,,
Bram Marlow,MTR,31,HEALTHY,,,,,
Bram Dunmore,NOV,23,HEALTHY,,,,,
Emeka Garrow,ORC,31,HEALTHY,,,,,
Vance Ingram,PHN,29,HEALTHY,,,,,
Idris Thorne,QST,26,HEALTHY,,,,,
Zane Stroud,RVR,28,HEALTHY,,,,,
Nico Oakridge,SUM,27,HEALTHY,,,,,
Rowan Hartwell,TID,25,HEALTHY,,,,,
Pax Wolcott,UMB,30,HEALTHY,,,,,
Yuri Fairbourne,VIP,35,HEALTHY,,,,,
Dante Zeller,WLD,20,HEALTHY,,,,,
Eli Corvell,XEN,27,HEALTHY,,,,,
Wes Kestrel,YTI,30,HEALTHY,,,,,
Jalen Yarrow,ZEP,28,HEALTHY,,,,,
Yuri Lockhart,ARC,23,OUT_SHORT,,,,,
Cyrus Lockhart,BOL,28,HEALTHY,,,,16.5,
Linus Oakridge,CRS,30,HEALTHY,,,,,
Nico Eastlake,DUN,21,HEALTHY,,,,,
Blake Hartwell,ALB,25,HEALTHY,,,,,
Jalen Ravensworth,BRV,27,HEALTHY,,,,,
Jalen Pembrook,CDR,28,HEALTHY,,,,,
Marek Marlow,DLT,30,DTD,,,,,
Niall Draven,EMB,32,HEALTHY,,,STARTER_OPPORTUNITY,,
Jonah Oakridge,FRG,23,HEALTHY,,,,,
Linus Draven,GLN,22,HEALTHY,,,,,
Gage Everly,HVN,32,HEALTHY,,,,,
Lior Blackwood,IRN,33,HEALTHY,,,,,
Galen Eastlake,JAD,20,HEALTHY,,,,,
Kade Zeller,KNG,19,OUT_SHORT,,,,,
Tate Quill,LYX,27,OUT_SHORT,,,,,
Yuri Marlow,MTR,27,HEALTHY,,,INJURY_AWAY_ROLE,,
Jonah Thorne,NOV,25,HEALTHY,,,,,
Pax Jessop,ORC,22,OUT_SHORT,,,,15.4,
Soren Draven,PHN,21,HEALTHY,,,,,
Vance Fairbourne,QST,27,HEALTHY,,,,,
Zane Pembrook,RVR,27,HEALTHY,,,,,
Jonah Blackwood,SUM,29,HEALTHY,,,,,
Galen Vexley,TID,32,HEALTHY,,,,,
Yuri Dunmore,UMB,29,HEALTHY,,,,,
Tate Northcott,VIP,32,HEALTHY,,,,,
Blake Fairbourne,WLD,25,HEALTHY,,,,,
Finn Northcott,XEN,27,HEALTHY,,,,,
Wes Vexley,YTI,20,DTD,,,,,
Idris Abernet,ZEP,29,HEALTHY,,,,,
Marek Thorne,ARC,19,HEALTHY,,,,,
Milo Marlow,BOL,33,HEALTHY,,,STARTER_OPPORTUNITY,,
Marek Blackwood,CRS,33,HEALTHY,,,,,
Wes Oakridge,DUN,24,HEALTHY,,,,,
Ansel Lockhart,ALB,28,HEALTHY,,,,,
Orin Garrow,BRV,21,HEALTHY,,,,14.7,
Ulises Ingram,CDR,26,HEALTHY,,,,,
Kade Lockhart,DLT,19,HEALTHY,,,,,
Dante Dunmore,EMB,19,HEALTHY,,,,,
Avery Quill,FRG,23,HEALTHY,,,,,
Kade Ingram,GLN,32,DTD,,,,,
Hollis Wolcott,HVN,30,HEALTHY,,,,,
Jalen Ingram,IRN,20,HEALTHY,,,,,
Quincy Kestrel,JAD,24,HEALTHY,,,,,
Zane Calloway,KNG,25,DTD,,,,,
Zane Ravensworth,LYX,25,HEALTHY,,,,,
Bram Eastlake,MTR,29,HEALTHY,,,,,
Ulises Vexley,NOV,30,HEALTHY,,,INJURY_AWAY_ROLE,,
Xander Eastlake,ORC,33,HEALTHY,,,,,
Milo Stroud,PHN,30,HEALTHY,,,,,
Quincy Lockhart,QST,23,HEALTHY,,,,,
Eli Fairbourne,RVR,25,HEALTHY,,,,,
Kellan Fairbourne,SUM,28,HEALTHY,,,,10.8,
Gage Stroud,TID,32,HEALTHY,,,,,
Gage Marlow,UMB,19,HEALTHY,,,STARTER_OPPORTUNITY,,
Marek Fairbourne,VIP,27,HEALTHY,,,,,
Xander Jessop,WLD,27,OUT_SHORT,,,,,
Florian Lockhart,XEN,24,HEALTHY,,,,,
Yuri Abernet,YTI,21,HEALTHY,,,,,
Jalen Marlow,ZEP,31,HEALTHY,,,,,
Kellan Abernet,ARC,21,HEALTHY,,,,,
Rowan Oakridge,BOL,36,HEALTHY,,,,,
Emeka Yarrow,CRS,27,HEALTHY,,,,,
Ulises Corvell,DUN,19,OUT_SHORT,,,,,
Nico Fairbourne,ALB,31,HEALTHY,,,,,
Tate Fairbourne,BRV,26,HEALTHY,,,,,
Blake Ravensworth,CDR,26,HEALTHY,,,,,
Dorian Jessop,DLT,22,HEALTHY,,,,,
Cam Draven,EMB,31,HEALTHY,,,,,
Linus Birchwell,FRG,37,HEALTHY,,,,13.6,
Finn Eastlake,GLN,22,HEALTHY,,,,,
Eli Garrow,HVN,27,HEALTHY,,,,,
Dante Garrow,IRN,25,HEALTHY,,,,,
Idris Oakridge,JAD,28,HEALTHY,,,,,
Marek Kestrel,KNG,29,HEALTHY,,,,,
Niall Dunmore,LYX,24,HEALTHY,,,,,
Linus Ashgrove,MTR,19,HEALTHY,,,,,
Ivo Wolcott,NOV,26,OUT_SHORT,,,STARTER_OPPORTUNITY,,
Vance Jessop,ORC,19,HEALTHY,,,INJURY_AWAY_ROLE,,
Blake Stroud,PHN,22,HEALTHY,,,,,
Wes Marlow,QST,29,HEALTHY,,,,,
Cyrus Ravensworth,RVR,30,HEALTHY,,,,,
Hugo Draven,SUM,32,HEALTHY,,,,,
Emeka Pembrook,TID,33,HEALTHY,,,,,
Hollis Pembrook,UMB,21,HEALTHY,,,,,
Eli Wolcott,VIP,24,HEALTHY,,,,,
Florian Quill,WLD,25,HEALTHY,,,,10.2,
Pax Northcott,XEN,20,HEALTHY,,,,,
Vance Ashgrove,YTI,27,HEALTHY,,,,,
Orin Everly,ZEP,26,HEALTHY,,,,,
Blake Yarrow,ARC,25,OUT_SHORT,,,,,
Orin Underhill,BOL,31,HEALTHY,,,,,
Hollis Thorne,CRS,27,HEALTHY,,,,,
Ulises Eastlake,DUN,30,HEALTHY,,,,,
